run_name,sample_count,target_support,target_true_positive,target_false_negative,target_false_positive,target_precision,target_recall,target_f1,target_miss_rate,ti_bearing_support,ti_bearing_intrusion_count,ti_bearing_intrusion_rate,metallic_support,metallic_intrusion_count,metallic_intrusion_rate,gangue_support,gangue_intrusion_count,gangue_intrusion_rate
formal_role_aware_efficientnet_b0_seed20260727,1284,251,176,75,65,0.7302904564315352,0.701195219123506,0.7154471544715447,0.29880478087649404,491,37,0.07535641547861507,176,19,0.10795454545454546,366,9,0.02459016393442623
formal_role_aware_efficientnet_b0_seed20260728,1284,251,177,74,59,0.75,0.7051792828685259,0.7268993839835728,0.2948207171314741,491,37,0.07535641547861507,176,16,0.09090909090909091,366,6,0.01639344262295082
formal_role_aware_efficientnet_b0_seed20260729,1284,251,162,89,65,0.7136563876651982,0.6454183266932271,0.6778242677824268,0.3545816733067729,491,40,0.0814663951120163,176,16,0.09090909090909091,366,9,0.02459016393442623
