actual/predicted,target_mineral,ti_bearing_negative,gangue_negative,metallic_hard_negative
target_mineral,186,32,15,18
ti_bearing_negative,53,367,55,16
gangue_negative,10,28,315,13
metallic_hard_negative,23,20,18,115
