configuration,metric,mean,sample_std,seed_20260727,seed_20260728,seed_20260729,seed_20260730,seed_20260731
rsg_complete,accuracy,0.7570093457943925,0.013090137316177261,0.7554517133956387,0.7632398753894081,0.7749221183800623,0.7515576323987538,0.7398753894080997
rsg_complete,macro_f1,0.7401006546629978,0.01322570292536151,0.7397426910189491,0.7455702848835618,0.7573396895835512,0.7367569903567918,0.7210936174721351
rsg_complete,target_recall,0.7235059760956175,0.012472092304779692,0.7211155378486056,0.7211155378486056,0.7450199203187251,0.7171314741035857,0.7131474103585658
rsg_complete,target_miss_rate,0.27649402390438244,0.012472092304779692,0.2788844621513944,0.2788844621513944,0.2549800796812749,0.2828685258964143,0.28685258964143423
rsg_complete,ti_to_target_intrusion_rate,0.09042769857433808,0.014154419840239558,0.10183299389002037,0.07739307535641547,0.07331975560081466,0.10386965376782077,0.09572301425661914
rsg_complete,metallic_to_target_intrusion_rate,0.11818181818181818,0.024570168534590514,0.11931818181818182,0.11363636363636363,0.10227272727272728,0.09659090909090909,0.1590909090909091
rsg_complete,direct_accuracy,0.7534267912772585,0.014154328253141096,0.7507788161993769,0.7531152647975078,0.7749221183800623,0.7531152647975078,0.735202492211838
rsg_complete,mapped_accuracy,0.759968847352025,0.01275452716257587,0.7554517133956387,0.764797507788162,0.778816199376947,0.7562305295950156,0.7445482866043613
rsg_complete,fused_accuracy,0.7570093457943925,0.013090137316177261,0.7554517133956387,0.7632398753894081,0.7749221183800623,0.7515576323987538,0.7398753894080997
rsg_complete,oracle_accuracy,0.7811526479750779,0.012473222257045934,0.7764797507788161,0.7842679127725857,0.8006230529595015,0.7772585669781932,0.7671339563862928
rsg_complete,expert_prediction_disagreement_rate,0.057165109034267914,0.0029961657416933563,0.0529595015576324,0.059190031152647975,0.056074766355140186,0.05685358255451713,0.06074766355140187
rsg_complete,one_right_one_wrong_rate,0.048909657320872275,0.0037106321649755755,0.04672897196261682,0.050623052959501556,0.04750778816199377,0.045171339563862926,0.05451713395638629
rsg_complete,one_right_gate_selection_accuracy,0.5578411262752698,0.03373311702218347,0.5666666666666667,0.6,0.5737704918032787,0.5344827586206896,0.5142857142857142
rsg_complete,mean_routing_regret_nll,0.08091787274143303,0.004739637606221581,0.08076798598130841,0.08257281697819314,0.07927234034267913,0.07449281542056074,0.08748340498442368
rsg_complete,complementarity_recovery,-0.1375380405035581,0.09472736053930064,0.0,-0.08000000000000297,-0.1785714285714273,-0.22222222222222457,-0.20689655172413574
rsg_complete,brier_score,0.37647000681045256,0.014083831997151635,0.3803586796150705,0.3740588383007859,0.35609384489432655,0.37646644768244647,0.3953722235596333
rsg_complete,expected_calibration_error,0.13536753862928347,0.0120144591395193,0.1401808154205607,0.12824942990654206,0.11859433800623051,0.14042169781931468,0.14939141199376943
mrpg_complete,accuracy,0.7566978193146418,0.005791586430709706,0.7663551401869159,0.7531152647975078,0.7538940809968847,0.7523364485981309,0.7577881619937694
mrpg_complete,macro_f1,0.7403411171188633,0.005653729104004394,0.7485569501468604,0.7410304281714759,0.7407585810723475,0.7328290445542534,0.7385305816493795
mrpg_complete,target_recall,0.7346613545816734,0.032925822328915326,0.749003984063745,0.7609561752988048,0.7649402390438247,0.701195219123506,0.6972111553784861
mrpg_complete,target_miss_rate,0.2653386454183267,0.032925822328915326,0.250996015936255,0.23904382470119523,0.2350597609561753,0.298804780876494,0.3027888446215139
mrpg_complete,ti_to_target_intrusion_rate,0.0945010183299389,0.015617343798517975,0.08757637474541752,0.11812627291242363,0.09572301425661914,0.09572301425661914,0.07535641547861507
mrpg_complete,metallic_to_target_intrusion_rate,0.10340909090909091,0.019434808382371674,0.08522727272727272,0.11931818181818182,0.11931818181818182,0.11363636363636363,0.07954545454545454
mrpg_complete,direct_accuracy,0.7493769470404984,0.003986443580084028,0.7523364485981309,0.7437694704049844,0.7538940809968847,0.7476635514018691,0.7492211838006231
mrpg_complete,mapped_accuracy,0.7560747663551401,0.006478702287565529,0.7663551401869159,0.7523364485981309,0.7570093457943925,0.7492211838006231,0.7554517133956387
mrpg_complete,fused_accuracy,0.7566978193146418,0.005791586430709706,0.7663551401869159,0.7531152647975078,0.7538940809968847,0.7523364485981309,0.7577881619937694
mrpg_complete,oracle_accuracy,0.7757009345794392,0.005589057669161745,0.7834890965732088,0.7725856697819314,0.7780373831775701,0.7686915887850467,0.7757009345794392
mrpg_complete,expert_prediction_disagreement_rate,0.05700934579439252,0.005786347545484955,0.0630841121495327,0.061526479750778816,0.05218068535825545,0.04984423676012461,0.05841121495327103
mrpg_complete,one_right_one_wrong_rate,0.045950155763239874,0.0033947811086765373,0.048286604361370715,0.04906542056074766,0.045171339563862926,0.040498442367601244,0.04672897196261682
mrpg_complete,one_right_gate_selection_accuracy,0.5814011905780537,0.07499977550582997,0.7096774193548387,0.5238095238095238,0.5517241379310345,0.5384615384615384,0.5833333333333334
mrpg_complete,mean_routing_regret_nll,0.08105380872274144,0.0054041166002785175,0.07642145327102803,0.08410982943925234,0.08750249454828661,0.0826527585669782,0.074582507788162
mrpg_complete,complementarity_recovery,0.03313960113960021,0.11921577851688693,0.0,0.038461538461537194,-0.14814814814814795,0.16000000000000023,0.11538461538461159
mrpg_complete,brier_score,0.3769022093987986,0.011634664902102616,0.3597806151543873,0.3894395187574519,0.3756545783288429,0.3858417206871221,0.3737946140661888
mrpg_complete,expected_calibration_error,0.1345830816199377,0.015461518412998986,0.12181577180685355,0.14657534501557634,0.15374122274143304,0.13292187850467296,0.11786119003115261
