actual/predicted,target_mineral,ti_bearing_negative,gangue_negative,metallic_hard_negative
target_mineral,180,40,14,17
ti_bearing_negative,43,375,50,23
gangue_negative,10,40,293,23
metallic_hard_negative,19,18,19,120
