experiment,accuracy_mean,accuracy_sample_std,macro_f1_mean,macro_f1_sample_std,target_recall_mean,target_recall_sample_std
source_baseline,0.69424743892829,0.021997675101982438,0.6699856086134297,0.021937189106719178,0.6808846761453397,0.01523483532542334
source_hierarchical,0.7155240346729709,0.006926081887804197,0.6970279542585015,0.008994542890957342,0.7140600315955766,0.03155605743355163
proxy_full_common,0.7476234283961974,0.038090624297314316,0.6708238225658991,0.04063782015473676,0.7222222222222222,0.05555555555555558
proxy_no_magnetite,0.7838086476540939,0.01195952161913526,0.704524112834948,0.0061435846304280645,0.4506172839506173,0.0650348997089675
