reference,comparison,metric,reference_mean,comparison_mean,difference,favorable_direction,oriented_improvement
hrgv_reference,rsg_complete,accuracy,0.764797507788162,0.7645379023883697,-0.00025960539979230646,1,-0.00025960539979230646
hrgv_reference,rsg_complete,macro_f1,0.7458881214644848,0.747550888495354,0.0016627670308692055,1,0.0016627670308692055
hrgv_reference,rsg_complete,target_recall,0.7237715803452855,0.7290836653386454,0.005312084993359889,1,0.005312084993359889
hrgv_reference,rsg_complete,target_miss_rate,0.27622841965471445,0.27091633466135456,-0.005312084993359889,-1,0.005312084993359889
hrgv_reference,rsg_complete,ti_to_target_intrusion_rate,0.09164969450101833,0.08418194161575017,-0.0074677528852681585,-1,0.0074677528852681585
hrgv_reference,rsg_complete,metallic_to_target_intrusion_rate,0.11553030303030304,0.11174242424242424,-0.0037878787878787984,-1,0.0037878787878787984
hrgv_reference,rsg_complete,direct_accuracy,0.755711318795431,0.7596053997923157,0.003894080996884708,0,0.0
hrgv_reference,rsg_complete,mapped_accuracy,0.7650571131879543,0.7663551401869159,0.0012980269989615323,0,0.0
hrgv_reference,rsg_complete,fused_accuracy,0.764797507788162,0.7645379023883697,-0.00025960539979230646,1,-0.00025960539979230646
hrgv_reference,rsg_complete,oracle_accuracy,0.7863447559709242,0.7871235721703012,0.0007788161993769194,0,0.0
hrgv_reference,rsg_complete,expert_prediction_disagreement_rate,0.0612668743509865,0.056074766355140186,-0.0051921079958463165,0,-0.0
hrgv_reference,rsg_complete,one_right_one_wrong_rate,0.05192107995846314,0.048286604361370715,-0.0036344755970924222,0,-0.0
hrgv_reference,rsg_complete,one_right_gate_selection_accuracy,0.45991239591059935,0.5801457194899817,0.12023332357938238,1,0.12023332357938238
hrgv_reference,rsg_complete,mean_routing_regret_nll,0.09856422014537902,0.08087104776739357,-0.017693172377985456,-1,0.017693172377985456
hrgv_reference,rsg_complete,complementarity_recovery,-0.048525149190110355,-0.08619047619047676,-0.03766532700036641,1,-0.03766532700036641
