configuration,seed,count,direct_accuracy,mapped_accuracy,fused_accuracy,oracle_accuracy,expert_prediction_disagreement_rate,one_right_one_wrong_count,one_right_one_wrong_rate,one_right_gate_selection_accuracy,mean_routing_regret_nll,complementarity_recovery
hrgv_reference,20260727,1284,0.7538940809968847,0.7694704049844237,0.764797507788162,0.7873831775700935,0.06230529595015576,66,0.0514018691588785,0.5151515151515151,0.08798231152647976,-0.2608695652173878
hrgv_reference,20260728,1284,0.7570093457943925,0.7609034267912772,0.7671339563862928,0.7873831775700935,0.06074766355140187,73,0.05685358255451713,0.4383561643835616,0.10088592289719626,0.23529411764705832
hrgv_reference,20260729,1284,0.7562305295950156,0.764797507788162,0.7624610591900312,0.7842679127725857,0.06074766355140187,61,0.04750778816199377,0.4262295081967213,0.10682442601246106,-0.12000000000000159
rsg_complete,20260727,1284,0.7507788161993769,0.7554517133956387,0.7554517133956387,0.7764797507788161,0.0529595015576324,60,0.04672897196261682,0.5666666666666667,0.08076798598130841,0.0
rsg_complete,20260728,1284,0.7531152647975078,0.764797507788162,0.7632398753894081,0.7842679127725857,0.059190031152647975,65,0.050623052959501556,0.6,0.08257281697819314,-0.08000000000000297
rsg_complete,20260729,1284,0.7749221183800623,0.778816199376947,0.7749221183800623,0.8006230529595015,0.056074766355140186,61,0.04750778816199377,0.5737704918032787,0.07927234034267913,-0.1785714285714273
