configuration,seed,count,direct_accuracy,mapped_accuracy,fused_accuracy,oracle_accuracy,expert_prediction_disagreement_rate,one_right_one_wrong_count,one_right_one_wrong_rate,one_right_gate_selection_accuracy,mean_routing_regret_nll,complementarity_recovery
rsg_complete,20260727,1284,0.7507788161993769,0.7554517133956387,0.7554517133956387,0.7764797507788161,0.0529595015576324,60,0.04672897196261682,0.5666666666666667,0.08076798598130841,0.0
rsg_complete,20260728,1284,0.7531152647975078,0.764797507788162,0.7632398753894081,0.7842679127725857,0.059190031152647975,65,0.050623052959501556,0.6,0.08257281697819314,-0.08000000000000297
rsg_complete,20260729,1284,0.7749221183800623,0.778816199376947,0.7749221183800623,0.8006230529595015,0.056074766355140186,61,0.04750778816199377,0.5737704918032787,0.07927234034267913,-0.1785714285714273
rsg_hard_target,20260727,1284,0.7538940809968847,0.7733644859813084,0.7655763239875389,0.7889408099688473,0.06074766355140187,65,0.050623052959501556,0.5384615384615384,0.09414321261682243,-0.49999999999999645
rsg_hard_target,20260728,1284,0.7577881619937694,0.7655763239875389,0.7616822429906542,0.7881619937694704,0.06230529595015576,68,0.0529595015576324,0.4852941176470588,0.10711827258566978,-0.17241379310344726
rsg_hard_target,20260729,1284,0.7523364485981309,0.7694704049844237,0.764018691588785,0.7873831775700935,0.0646417445482866,68,0.0529595015576324,0.5735294117647058,0.09947090420560747,-0.3043478260869576
rsg_unweighted,20260727,1284,0.7531152647975078,0.764797507788162,0.764797507788162,0.780373831775701,0.05218068535825545,55,0.042834890965732085,0.5818181818181818,0.08033272741433022,0.0
rsg_unweighted,20260728,1284,0.7484423676012462,0.764797507788162,0.7609034267912772,0.7850467289719626,0.06542056074766354,73,0.05685358255451713,0.6301369863013698,0.08242403115264797,-0.19230769230769695
rsg_unweighted,20260729,1284,0.7398753894080997,0.7476635514018691,0.7429906542056075,0.7663551401869159,0.056074766355140186,58,0.045171339563862926,0.5344827586206896,0.07375972274143303,-0.24999999999999703
rsg_coupled_gate,20260727,1284,0.7546728971962616,0.7554517133956387,0.7585669781931464,0.780373831775701,0.05841121495327103,65,0.050623052959501556,0.49230769230769234,0.07777644003115265,0.125
rsg_coupled_gate,20260728,1284,0.7554517133956387,0.7577881619937694,0.7546728971962616,0.780373831775701,0.05685358255451713,61,0.04750778816199377,0.4426229508196721,0.0757743761682243,-0.13793103448275812
rsg_coupled_gate,20260729,1284,0.7266355140186916,0.7390965732087228,0.735202492211838,0.7601246105919003,0.0630841121495327,70,0.05451713395638629,0.6142857142857143,0.07362285358255452,-0.18518518518518987
