reference,comparison,metric,reference_mean,comparison_mean,difference,favorable_direction,oriented_improvement
rsg_complete,rsg_hard_target,accuracy,0.7645379023883697,0.7637590861889927,-0.0007788161993770304,1,-0.0007788161993770304
rsg_complete,rsg_hard_target,macro_f1,0.747550888495354,0.7455737655697214,-0.0019771229256325684,1,-0.0019771229256325684
rsg_complete,rsg_hard_target,target_recall,0.7290836653386454,0.7304116865869854,0.0013280212483399723,1,0.0013280212483399723
rsg_complete,rsg_hard_target,target_miss_rate,0.27091633466135456,0.26958831341301465,-0.0013280212483399167,-1,0.0013280212483399167
rsg_complete,rsg_hard_target,ti_to_target_intrusion_rate,0.08418194161575017,0.09640190088255261,0.012219959266802444,-1,-0.012219959266802444
rsg_complete,rsg_hard_target,metallic_to_target_intrusion_rate,0.11174242424242424,0.125,0.01325757575757576,-1,-0.01325757575757576
rsg_complete,rsg_hard_target,direct_accuracy,0.7596053997923157,0.7546728971962616,-0.004932502596054045,0,-0.0
rsg_complete,rsg_hard_target,mapped_accuracy,0.7663551401869159,0.7694704049844237,0.0031152647975077885,0,0.0
rsg_complete,rsg_hard_target,fused_accuracy,0.7645379023883697,0.7637590861889927,-0.0007788161993770304,1,-0.0007788161993770304
rsg_complete,rsg_hard_target,oracle_accuracy,0.7871235721703012,0.7881619937694704,0.0010384215991692258,0,0.0
rsg_complete,rsg_hard_target,expert_prediction_disagreement_rate,0.056074766355140186,0.06256490134994808,0.00649013499480789,0,0.0
rsg_complete,rsg_hard_target,one_right_one_wrong_rate,0.048286604361370715,0.05218068535825545,0.0038940809968847356,0,0.0
rsg_complete,rsg_hard_target,one_right_gate_selection_accuracy,0.5801457194899817,0.5324283559577677,-0.04771736353221401,1,-0.04771736353221401
rsg_complete,rsg_hard_target,mean_routing_regret_nll,0.08087104776739357,0.1002441298026999,0.019373082035306327,-1,-0.019373082035306327
rsg_complete,rsg_hard_target,complementarity_recovery,-0.08619047619047676,-0.32558720639680044,-0.23939673020632368,1,-0.23939673020632368
rsg_complete,rsg_unweighted,accuracy,0.7645379023883697,0.7562305295950156,-0.00830737279335414,1,-0.00830737279335414
rsg_complete,rsg_unweighted,macro_f1,0.747550888495354,0.7376603677234124,-0.009890520771941635,1,-0.009890520771941635
rsg_complete,rsg_unweighted,target_recall,0.7290836653386454,0.7304116865869854,0.0013280212483399723,1,0.0013280212483399723
rsg_complete,rsg_unweighted,target_miss_rate,0.27091633466135456,0.2695883134130146,-0.0013280212483399723,-1,0.0013280212483399723
rsg_complete,rsg_unweighted,ti_to_target_intrusion_rate,0.08418194161575017,0.0943652410047522,0.010183299389002032,-1,-0.010183299389002032
rsg_complete,rsg_unweighted,metallic_to_target_intrusion_rate,0.11174242424242424,0.12121212121212122,0.009469696969696975,-1,-0.009469696969696975
rsg_complete,rsg_unweighted,direct_accuracy,0.7596053997923157,0.7471443406022845,-0.012461059190031154,0,-0.0
rsg_complete,rsg_unweighted,mapped_accuracy,0.7663551401869159,0.7590861889927311,-0.007268951194184803,0,-0.0
rsg_complete,rsg_unweighted,fused_accuracy,0.7645379023883697,0.7562305295950156,-0.00830737279335414,1,-0.00830737279335414
rsg_complete,rsg_unweighted,oracle_accuracy,0.7871235721703012,0.7772585669781932,-0.009865005192107978,0,-0.0
rsg_complete,rsg_unweighted,expert_prediction_disagreement_rate,0.056074766355140186,0.057892004153686394,0.0018172377985462076,0,0.0
rsg_complete,rsg_unweighted,one_right_one_wrong_rate,0.048286604361370715,0.048286604361370715,0.0,0,0.0
rsg_complete,rsg_unweighted,one_right_gate_selection_accuracy,0.5801457194899817,0.5821459755800804,0.0020002560900986843,1,0.0020002560900986843
rsg_complete,rsg_unweighted,mean_routing_regret_nll,0.08087104776739357,0.07883882710280374,-0.002032220664589829,-1,0.002032220664589829
rsg_complete,rsg_unweighted,complementarity_recovery,-0.08619047619047676,-0.147435897435898,-0.06124542124542123,1,-0.06124542124542123
rsg_complete,rsg_coupled_gate,accuracy,0.7645379023883697,0.7494807892004154,-0.01505711318795433,1,-0.01505711318795433
rsg_complete,rsg_coupled_gate,macro_f1,0.747550888495354,0.7317040236562535,-0.015846864839100472,1,-0.015846864839100472
rsg_complete,rsg_coupled_gate,target_recall,0.7290836653386454,0.7290836653386454,0.0,1,0.0
rsg_complete,rsg_coupled_gate,target_miss_rate,0.27091633466135456,0.27091633466135456,0.0,-1,-0.0
rsg_complete,rsg_coupled_gate,ti_to_target_intrusion_rate,0.08418194161575017,0.10930074677528853,0.025118805159538363,-1,-0.025118805159538363
rsg_complete,rsg_coupled_gate,metallic_to_target_intrusion_rate,0.11174242424242424,0.13068181818181818,0.018939393939393936,-1,-0.018939393939393936
rsg_complete,rsg_coupled_gate,direct_accuracy,0.7596053997923157,0.7455867082035307,-0.014018691588784993,0,-0.0
rsg_complete,rsg_coupled_gate,mapped_accuracy,0.7663551401869159,0.7507788161993769,-0.015576323987538943,0,-0.0
rsg_complete,rsg_coupled_gate,fused_accuracy,0.7645379023883697,0.7494807892004154,-0.01505711318795433,1,-0.01505711318795433
rsg_complete,rsg_coupled_gate,oracle_accuracy,0.7871235721703012,0.7736240913811008,-0.01349948078920038,0,-0.0
rsg_complete,rsg_coupled_gate,expert_prediction_disagreement_rate,0.056074766355140186,0.05944963655244029,0.003374870197300102,0,0.0
rsg_complete,rsg_coupled_gate,one_right_one_wrong_rate,0.048286604361370715,0.05088265835929387,0.0025960539979231548,0,0.0
rsg_complete,rsg_coupled_gate,one_right_gate_selection_accuracy,0.5801457194899817,0.5164054524710262,-0.06374026701895552,1,-0.06374026701895552
rsg_complete,rsg_coupled_gate,mean_routing_regret_nll,0.08087104776739357,0.07572455659397716,-0.005146491173416409,-1,0.005146491173416409
rsg_complete,rsg_coupled_gate,complementarity_recovery,-0.08619047619047676,-0.066038739889316,0.020151736301160766,1,0.020151736301160766
