configuration,metric,mean,sample_std,seed_20260727,seed_20260728,seed_20260729
rsg_complete,accuracy,0.7645379023883697,0.009799888934671264,0.7554517133956387,0.7632398753894081,0.7749221183800623
rsg_complete,macro_f1,0.747550888495354,0.008964133121553699,0.7397426910189491,0.7455702848835618,0.7573396895835512
rsg_complete,target_recall,0.7290836653386454,0.013801201653935264,0.7211155378486056,0.7211155378486056,0.7450199203187251
rsg_complete,target_miss_rate,0.27091633466135456,0.013801201653935264,0.2788844621513944,0.2788844621513944,0.2549800796812749
rsg_complete,ti_to_target_intrusion_rate,0.08418194161575017,0.01542133970346307,0.10183299389002037,0.07739307535641547,0.07331975560081466
rsg_complete,metallic_to_target_intrusion_rate,0.11174242424242424,0.00867912063438606,0.11931818181818182,0.11363636363636363,0.10227272727272728
rsg_complete,direct_accuracy,0.7596053997923157,0.013316011010625307,0.7507788161993769,0.7531152647975078,0.7749221183800623
rsg_complete,mapped_accuracy,0.7663551401869159,0.011759866721605502,0.7554517133956387,0.764797507788162,0.778816199376947
rsg_complete,fused_accuracy,0.7645379023883697,0.009799888934671264,0.7554517133956387,0.7632398753894081,0.7749221183800623
rsg_complete,oracle_accuracy,0.7871235721703012,0.012322372052238658,0.7764797507788161,0.7842679127725857,0.8006230529595015
rsg_complete,expert_prediction_disagreement_rate,0.056074766355140186,0.0031152647975077885,0.0529595015576324,0.059190031152647975,0.056074766355140186
rsg_complete,one_right_one_wrong_rate,0.048286604361370715,0.0020605539805798995,0.04672897196261682,0.050623052959501556,0.04750778816199377
rsg_complete,one_right_gate_selection_accuracy,0.5801457194899817,0.017557346719272733,0.5666666666666667,0.6,0.5737704918032787
rsg_complete,mean_routing_regret_nll,0.08087104776739357,0.001652650236500988,0.08076798598130841,0.08257281697819314,0.07927234034267913
rsg_complete,complementarity_recovery,-0.08619047619047676,0.08944652185584807,0.0,-0.08000000000000297,-0.1785714285714273
rsg_hard_target,accuracy,0.7637590861889927,0.001959977786934237,0.7655763239875389,0.7616822429906542,0.764018691588785
rsg_hard_target,macro_f1,0.7455737655697214,0.003998422661261372,0.7483790521825245,0.7409954083210528,0.7473468362055868
rsg_hard_target,target_recall,0.7304116865869854,0.044780120318957166,0.7410358565737052,0.6812749003984063,0.7689243027888446
rsg_hard_target,target_miss_rate,0.26958831341301465,0.044780120318957166,0.2589641434262948,0.3187250996015937,0.2310756972111554
rsg_hard_target,ti_to_target_intrusion_rate,0.09640190088255261,0.016587633024943135,0.1079429735234216,0.07739307535641547,0.10386965376782077
rsg_hard_target,metallic_to_target_intrusion_rate,0.125,0.005681818181818177,0.13068181818181818,0.11931818181818182,0.125
rsg_hard_target,direct_accuracy,0.7546728971962616,0.00280806174101553,0.7538940809968847,0.7577881619937694,0.7523364485981309
rsg_hard_target,mapped_accuracy,0.7694704049844237,0.003894080996884708,0.7733644859813084,0.7655763239875389,0.7694704049844237
rsg_hard_target,fused_accuracy,0.7637590861889927,0.001959977786934237,0.7655763239875389,0.7616822429906542,0.764018691588785
rsg_hard_target,oracle_accuracy,0.7881619937694704,0.0007788161993769194,0.7889408099688473,0.7881619937694704,0.7873831775700935
rsg_hard_target,expert_prediction_disagreement_rate,0.06256490134994808,0.0019599777869342516,0.06074766355140187,0.06230529595015576,0.0646417445482866
rsg_hard_target,one_right_one_wrong_rate,0.05218068535825545,0.001348949227078565,0.050623052959501556,0.0529595015576324,0.0529595015576324
rsg_hard_target,one_right_gate_selection_accuracy,0.5324283559577677,0.044425963696354105,0.5384615384615384,0.4852941176470588,0.5735294117647058
rsg_hard_target,mean_routing_regret_nll,0.1002441298026999,0.006521997674546919,0.09414321261682243,0.10711827258566978,0.09947090420560747
rsg_hard_target,complementarity_recovery,-0.32558720639680044,0.1648226750000642,-0.49999999999999645,-0.17241379310344726,-0.3043478260869576
rsg_unweighted,accuracy,0.7562305295950156,0.011630206014850514,0.764797507788162,0.7609034267912772,0.7429906542056075
rsg_unweighted,macro_f1,0.7376603677234124,0.012250583165407222,0.7471396880010805,0.7420137628025785,0.7238276523665781
rsg_unweighted,target_recall,0.7304116865869854,0.013991572048941208,0.7450199203187251,0.7171314741035857,0.7290836653386454
rsg_unweighted,target_miss_rate,0.2695883134130146,0.013991572048941208,0.2549800796812749,0.2828685258964143,0.27091633466135456
rsg_unweighted,ti_to_target_intrusion_rate,0.0943652410047522,0.012276402797029955,0.09572301425661914,0.0814663951120163,0.10590631364562118
rsg_unweighted,metallic_to_target_intrusion_rate,0.12121212121212122,0.00867912063438606,0.11363636363636363,0.11931818181818182,0.13068181818181818
rsg_unweighted,direct_accuracy,0.7471443406022845,0.0067147025734047485,0.7531152647975078,0.7484423676012462,0.7398753894080997
rsg_unweighted,mapped_accuracy,0.7590861889927311,0.00989229433190951,0.764797507788162,0.764797507788162,0.7476635514018691
rsg_unweighted,fused_accuracy,0.7562305295950156,0.011630206014850514,0.764797507788162,0.7609034267912772,0.7429906542056075
rsg_unweighted,oracle_accuracy,0.7772585669781932,0.009727411212458573,0.780373831775701,0.7850467289719626,0.7663551401869159
rsg_unweighted,expert_prediction_disagreement_rate,0.057892004153686394,0.006804435317799144,0.05218068535825545,0.06542056074766354,0.056074766355140186
rsg_unweighted,one_right_one_wrong_rate,0.048286604361370715,0.007510631433795137,0.042834890965732085,0.05685358255451713,0.045171339563862926
rsg_unweighted,one_right_gate_selection_accuracy,0.5821459755800804,0.04782795631071442,0.5818181818181818,0.6301369863013698,0.5344827586206896
rsg_unweighted,mean_routing_regret_nll,0.07883882710280374,0.0045212126323307,0.08033272741433022,0.08242403115264797,0.07375972274143303
rsg_unweighted,complementarity_recovery,-0.147435897435898,0.1309011401068082,0.0,-0.19230769230769695,-0.24999999999999703
rsg_coupled_gate,accuracy,0.7494807892004154,0.012517719056325243,0.7585669781931464,0.7546728971962616,0.735202492211838
rsg_coupled_gate,macro_f1,0.7317040236562535,0.013533970534225422,0.738535050317114,0.7404610681708386,0.7161159524808081
rsg_coupled_gate,target_recall,0.7290836653386454,0.018257273685083012,0.7450199203187251,0.7330677290836654,0.7091633466135459
rsg_coupled_gate,target_miss_rate,0.27091633466135456,0.018257273685083012,0.2549800796812749,0.26693227091633465,0.29083665338645415
rsg_coupled_gate,ti_to_target_intrusion_rate,0.10930074677528853,0.006546945526811238,0.11405295315682282,0.10183299389002037,0.1120162932790224
rsg_coupled_gate,metallic_to_target_intrusion_rate,0.13068181818181818,0.015032677903776085,0.14772727272727273,0.11931818181818182,0.125
rsg_coupled_gate,direct_accuracy,0.7455867082035307,0.01641683463526723,0.7546728971962616,0.7554517133956387,0.7266355140186916
rsg_coupled_gate,mapped_accuracy,0.7507788161993769,0.010184343326029568,0.7554517133956387,0.7577881619937694,0.7390965732087228
rsg_coupled_gate,fused_accuracy,0.7494807892004154,0.012517719056325243,0.7585669781931464,0.7546728971962616,0.735202492211838
rsg_coupled_gate,oracle_accuracy,0.7736240913811008,0.011690893301347595,0.780373831775701,0.780373831775701,0.7601246105919003
rsg_coupled_gate,expert_prediction_disagreement_rate,0.05944963655244029,0.0032424704041528513,0.05841121495327103,0.05685358255451713,0.0630841121495327
rsg_coupled_gate,one_right_one_wrong_rate,0.05088265835929387,0.0035118767545349646,0.050623052959501556,0.04750778816199377,0.05451713395638629
rsg_coupled_gate,one_right_gate_selection_accuracy,0.5164054524710262,0.0883320588680393,0.49230769230769234,0.4426229508196721,0.6142857142857143
rsg_coupled_gate,mean_routing_regret_nll,0.07572455659397716,0.0020772413410526315,0.07777644003115265,0.0757743761682243,0.07362285358255452
rsg_coupled_gate,complementarity_recovery,-0.066038739889316,0.16712297506185478,0.125,-0.13793103448275812,-0.18518518518518987
