actual/predicted,target_mineral,ti_bearing_negative,gangue_negative,metallic_hard_negative
target_mineral,191,31,10,19
ti_bearing_negative,52,373,46,20
gangue_negative,13,34,305,14
metallic_hard_negative,24,21,21,110
