epoch,train_loss,train_role_loss,train_species_loss,train_binary_loss,train_consistency_loss,train_contrast_loss,val_loss,val_role_loss,val_species_loss,val_binary_loss,val_consistency_loss,val_contrast_loss,accuracy,macro_precision,macro_recall,macro_f1,learning_rate
1,2.566227338074478,1.1013209979179381,2.501348752660292,0.5454491135848486,0.09460440889498348,0.6840924777914226,2.0656395092188755,0.921588174464918,2.0499060911552927,0.44821460665757784,0.07044633842331598,0.0,0.617601246105919,0.60187034529472,0.6234156166322807,0.5986406612071229,0.0001
2,1.983610200513991,0.8482525875016039,1.926653984348519,0.4274740984647431,0.0554576101119967,0.5961633376418455,1.7677067440246867,0.7785226322037408,1.7518172290094915,0.43333013304668794,0.04942963265369986,0.0,0.6900311526479751,0.672867922008547,0.6974761933037198,0.6778262639316288,0.0001
3,1.6654425038125087,0.7037182846858865,1.631649393460191,0.36718702404776227,0.045468590749283,0.49555900193984587,1.6309155552558068,0.7329405272304084,1.6034298529877469,0.3680909859985577,0.04237367064224968,0.0,0.7001557632398754,0.6790539628881768,0.699771122821271,0.6863445475590955,0.0001
4,1.447780620709819,0.6105836486030477,1.4249029215540867,0.3189242072547168,0.039173415355350606,0.4109711924233786,1.5969877885509502,0.7234108414605399,1.5479752980288686,0.3825742381848279,0.03945752499607679,0.0,0.7204049844236761,0.7023502113645972,0.7254315412767425,0.7092008524570871,0.0001
5,1.2467613338504215,0.5108182660071687,1.2587732819578148,0.2630049760592922,0.03876863724982212,0.36928312375834077,1.61726058513576,0.7495740225010572,1.5250845427082336,0.40359504465187823,0.04245540045341042,0.0,0.7305295950155763,0.710315366461084,0.730547555428212,0.7165322106423118,0.0001
6,1.1193726626524008,0.45536916830099344,1.1422722205842146,0.23636211632602347,0.03706523448990018,0.30070326417607063,1.5621159325507572,0.7052694386643041,1.5186586539693339,0.3741509304947664,0.03979438021082744,0.0,0.7375389408099688,0.7152401876472299,0.7268730923210276,0.7199907891310111,0.0001
7,0.9721690875694788,0.3831638202003696,1.019475018052202,0.20286611682705544,0.035288963833099804,0.25022335393384604,1.6411554256332255,0.7586241926638136,1.5347229528278576,0.4446002194814593,0.040197050425215305,0.0,0.7336448598130841,0.7166695245831586,0.7374390797837631,0.7213300832382904,0.0001
8,0.8843248209643736,0.3447446679083058,0.930082951750337,0.19700910399982421,0.03303235384118955,0.2198316630265383,1.6964909458457496,0.8042367683764188,1.5694510578366454,0.41528780946386196,0.0370669759160076,0.0,0.7242990654205608,0.7032028373324002,0.7286578661391125,0.7100188380257297,0.0001
9,0.7565470609943292,0.28895123753646057,0.8187667962149313,0.1478894105710113,0.03161263601619152,0.1807881068098322,1.7211816407438378,0.8228560263215567,1.5778626333515964,0.4214941196410548,0.04020768358746422,0.0,0.7375389408099688,0.7143084053647732,0.7393076549698067,0.7223672099030227,0.0001
10,0.7046511720799096,0.2626422206800749,0.772274903634354,0.1454030281906759,0.029360577712206407,0.16584685101956403,1.6872864003493406,0.7866195167336508,1.582582949106567,0.4206414426708843,0.0421504352787202,0.0,0.7445482866043613,0.7279664938219532,0.7393335271761685,0.7307593789957264,0.0001
11,0.6249984911755615,0.2324958949246236,0.6904798061970475,0.12486937448677352,0.0289483959187429,0.1315051103871243,1.8155419781943347,0.8621487000092539,1.662130234768829,0.4724938996321873,0.04204675362291644,0.0,0.7414330218068536,0.7195781852169383,0.7401237904851129,0.7264079163120747,0.0001
12,0.5711133897834487,0.20488397552350726,0.6484879013916487,0.11089412505992946,0.026905887937549777,0.1157134426421786,1.7730625719296227,0.8449223320989222,1.620986728467674,0.45406404971014536,0.041308726703405754,0.0,0.7577881619937694,0.7356201090957359,0.7362432196635178,0.7358757224834507,0.0001
13,0.5357924968459186,0.1953805823724625,0.5960516752642366,0.11196241512922128,0.028756249593056813,0.11519848381826425,1.7927145727698306,0.8533128729304792,1.6291576482796595,0.4810399100586273,0.045628933032910775,0.0,0.7507788161993769,0.7284910708892156,0.7393179968149455,0.7327828828939164,0.0001
14,0.48614347790975815,0.17669972499141637,0.5393695012972352,0.10402249932074142,0.027717648895675805,0.10981613103245806,1.8399826470193834,0.8804840603814318,1.6914133591072582,0.43753377631629603,0.04408465145225419,0.0,0.7484423676012462,0.7246026690486999,0.7378747461114404,0.7296288696094352,0.0001
15,0.4260096215767821,0.15518567690241758,0.4802696275453083,0.0839125787080924,0.024765007627662036,0.07234485592960098,1.8714940107871438,0.896319644102055,1.696642221320084,0.488858958085378,0.0463852239163401,0.0,0.7445482866043613,0.720874416273697,0.7357493486472315,0.7264629342678123,0.0001
16,0.4299662397714134,0.1600538278034501,0.47370028984744644,0.08900774021130983,0.02503998256436112,0.08306333860488678,1.8626810341052178,0.8930599403994106,1.6899819656324535,0.4784298811609802,0.05022657691933377,0.0,0.7390965732087228,0.7134105349669044,0.7256844213508615,0.7182014309792182,5e-05
17,0.3465600348452837,0.12296291630583268,0.3999378857142052,0.068544701113297,0.022619306228272497,0.04230070130006875,1.9410434344847254,0.9372745330367133,1.7358045277194443,0.5237988890714456,0.04916903734021469,0.0,0.7383177570093458,0.719955441780893,0.7307691353824123,0.7205684525161691,5e-05
18,0.29469667826297197,0.0956582232917281,0.3579767631506524,0.05494996097274443,0.018556989202264312,0.04456883400237151,1.8870098993785656,0.9053540466080573,1.706768251468088,0.4949332218141385,0.045384293497537156,0.0,0.75,0.7310317370465593,0.7321502259981256,0.7300367150461665,5e-05
19,0.28909900774993347,0.0990551191697238,0.33775226914068734,0.05925658531440117,0.02065367516063965,0.04288241173840114,1.919522772696902,0.9325416205549537,1.724814005915621,0.4793609859294191,0.04733901155816617,0.0,0.7546728971962616,0.7300086143516825,0.7468922541722549,0.7368513588802849,5e-05
20,0.255190347669269,0.08794154091292111,0.2995313710463245,0.04999602789981386,0.01863368534784707,0.031207462513126314,1.920780940869144,0.9403717506479623,1.7080872081150518,0.48583200751844435,0.04907585851952573,0.0,0.7523364485981309,0.7317618408160397,0.7330131206780037,0.7315498415603346,5e-05
21,0.24783198302213308,0.08442160994191934,0.289264776946274,0.05334570430543519,0.019297715782371768,0.0351178641315712,1.9704133725240593,0.9575330275473565,1.7540447021199164,0.5209441235306386,0.056219597448626785,0.0,0.7453271028037384,0.7279867571210017,0.7331859505729046,0.7282860250065399,5e-05
22,0.23770886643123676,0.08088635749811195,0.2778265029966901,0.04934481913362913,0.020783119110649582,0.03494740591412427,1.921088298533193,0.9283292119005387,1.737948390925042,0.4750229886854851,0.05029168744742685,0.0,0.7601246105919003,0.7387317938222134,0.7490870492565012,0.7427716325049315,5e-05
23,0.23018376013763078,0.07860957217605706,0.27004026787190244,0.046680551855575694,0.019131419976782308,0.029707752507235008,2.0788036150352975,1.025312508842284,1.814808868080656,0.562968203243785,0.053446048754630056,0.0,0.7476635514018691,0.7265387849296121,0.73334619607784,0.7275032189017341,5e-05
