bootstrap_index,accuracy,macro_f1,target_recall,target_miss_rate,ti_to_target_intrusion,metallic_to_target_intrusion
0,0.026739356178608564,0.023797975928397313,0.0610889774236388,-0.0610889774236388,0.009504412763068562,0.018939393939393933
1,0.032969885773624065,0.028181382674623518,0.12616201859229745,-0.12616201859229745,0.01018329938900204,0.03787878787878789
2,0.009345794392523366,0.002952158055073576,0.05444887118193894,-0.05444887118193894,0.023082145281737954,0.04924242424242424
3,0.022845275181723784,0.021478320426636444,0.1088977423638778,-0.1088977423638778,0.02715546503733876,0.017045454545454548
4,0.026998961578400798,0.026489455429990594,0.09960159362549799,-0.09960159362549799,0.013577732518669386,0.009469696969696968
5,0.01401869158878503,0.009907651450565528,0.06374501992031871,-0.06374501992031871,0.006109979633401226,0.02083333333333333
6,0.006230529595015577,0.004851513497934408,0.07702523240371843,-0.07702523240371843,0.03869653767820775,0.03787878787878788
7,0.012980269989615767,0.011598427337330372,0.07968127490039838,-0.07968127490039838,0.03190767141887305,0.04356060606060606
8,0.003374870197300132,-0.001003592343311747,0.07436918990703849,-0.07436918990703849,0.02715546503733877,0.03787878787878788
9,0.010124610591900285,0.014179440999210239,0.10225763612217798,-0.10225763612217798,0.04480651731160896,0.034090909090909095
10,0.027518172377985445,0.0224624023576927,0.06374501992031867,-0.06374501992031867,2.3129646346357427e-18,0.024621212121212117
11,-0.005451713395638658,-0.008598098826923454,0.08764940239043821,-0.08764940239043821,0.025118805159538366,0.04356060606060606
12,0.020249221183800643,0.020144888169849346,0.11022576361221781,-0.11022576361221781,0.02172437202987101,0.047348484848484855
13,0.01947040498442369,0.012722691991863969,0.08897742363877821,-0.08897742363877821,-0.002036659877800405,0.045454545454545456
14,0.007009345794392534,0.0054838604744697666,0.06905710491367863,-0.06905710491367863,0.03394433129667345,0.03787878787878788
15,0.032969885773624065,0.031030612336316616,0.11288180610889771,-0.11288180610889771,0.004752206381534285,0.06439393939393939
16,-0.004672897196261701,-0.006287272397653698,0.0836653386454183,-0.0836653386454183,0.03937542430414121,0.03977272727272727
17,0.007268951194184803,0.0041422303561794065,0.05710491367861884,-0.05710491367861884,0.01832993890020367,0.041666666666666664
18,-0.006490134994807921,-0.007387801703972389,0.11155378486055774,-0.11155378486055774,0.05770536320434488,0.09659090909090909
19,0.014018691588785067,0.008977470434911853,0.058432934926958814,-0.058432934926958814,0.004752206381534285,0.022727272727272724
20,0.004932502596054007,0.005803459906893201,0.11686586985391763,-0.11686586985391763,0.04344874405974202,0.05492424242424242
21,0.020768431983385256,0.020716185294781808,0.0863213811420982,-0.0863213811420982,0.046164290563475895,0.03977272727272727
22,0.016095534787123517,0.015864675651985793,0.09163346613545816,-0.09163346613545816,0.02647657841140529,0.024621212121212127
23,0.00025960539979230646,-0.0005113490023829584,0.09296148738379813,-0.09296148738379813,0.03394433129667345,0.03787878787878789
24,-0.00726895119418484,-0.00955172053691918,0.06507304116865868,-0.06507304116865868,0.032586558044806514,0.005681818181818181
25,0.022585669781931477,0.01526993869643963,0.05046480743691898,-0.05046480743691898,0.010183299389002032,0.04356060606060606
26,-0.005451713395638658,-0.011631839404214231,0.0690571049136786,-0.0690571049136786,0.031907671418873046,0.06628787878787878
27,-0.0025960539979231756,0.001015253007142225,0.11952191235059761,-0.11952191235059761,0.05634758995247794,0.05681818181818181
28,0.029595015576323935,0.025796815277292124,0.09030544488711816,-0.09030544488711816,0.002036659877800405,0.041666666666666664
29,0.018951194184839,0.011990538574519335,0.061088977423638724,-0.061088977423638724,0.0033944331296673416,0.018939393939393936
30,-0.038940809968847336,-0.035765945074882365,0.08100929614873838,-0.08100929614873838,0.08010862186014935,0.06439393939393939
31,0.025181723779854615,0.022664409905070276,0.08233731739707839,-0.08233731739707839,0.0176510522742702,0.024621212121212124
32,0.017133956386292854,0.014467595697016758,0.100929614873838,-0.100929614873838,0.021045485403937542,0.024621212121212117
33,0.020508826583592914,0.02143339620372468,0.10358565737051788,-0.10358565737051788,0.03326544467073999,0.04734848484848484
34,0.027258566978193104,0.023373038191162876,0.09694555112881804,-0.09694555112881804,0.008146639511201629,0.04734848484848485
35,-0.026479750778816185,-0.02569696910233532,0.09163346613545816,-0.09163346613545816,0.0678886625933469,0.06439393939393939
36,-0.006230529595015577,-0.005545888178803748,0.11420982735723777,-0.11420982735723777,0.04887983706720978,0.054924242424242424
37,0.003374870197300132,-0.0017761459495890808,0.09296148738379813,-0.09296148738379813,0.031228784792939574,0.05113636363636364
38,-0.001038421599169263,0.0015190089093593724,0.11686586985391771,-0.11686586985391771,0.05974202308214528,0.056818181818181816
39,0.025700934579439266,0.022207695273203838,0.11952191235059757,-0.11952191235059757,0.016972165648336725,0.04924242424242425
40,0.00025960539979230646,-0.005744751109059439,0.0783532536520584,-0.0783532536520584,0.02308214528173795,0.0662878787878788
41,0.02310488058151609,0.016993101849044123,0.059760956175298786,-0.059760956175298786,0.004752206381534285,0.04356060606060606
