epoch,train_loss,train_role_loss,train_species_loss,train_binary_loss,train_consistency_loss,train_contrast_loss,val_loss,val_role_loss,val_species_loss,val_binary_loss,val_consistency_loss,val_contrast_loss,accuracy,macro_precision,macro_recall,macro_f1,learning_rate
1,2.563370978129622,1.1420826158203712,2.502393553715468,0.5534848667286435,0.10995157320724401,0.20725214470190456,2.014185856105871,0.8856274494909867,2.0546487807788867,0.3642671750901265,0.10167214916650594,0.0,0.6264949402023919,0.5519592018304423,0.6106677089875885,0.5534304232736755,0.0001
2,1.950075832026467,0.851106784284103,1.9551958102843052,0.3890108354190059,0.07356560303075348,0.16761869304495733,1.7060768253340453,0.7483999413312195,1.7698071145528813,0.2703153772044862,0.051944806088848515,0.0,0.7046918123275069,0.6244683147253153,0.6790238768124841,0.6313815683576018,0.0001
3,1.6357446509851636,0.7085526075881727,1.6678479362229643,0.2931184423930306,0.050237510457566914,0.14964710213547072,1.6221792525727483,0.7243615914180724,1.6501013350903495,0.2706653448344374,0.05100659453057321,0.0,0.7111315547378105,0.6180236598841616,0.6711062685178342,0.6298376131250598,0.0001
4,1.3952679953113343,0.5913117971891542,1.4550252101752086,0.2481021270892241,0.04411667302963539,0.10006392273240902,1.536204560261422,0.6813803805927673,1.5895735137267406,0.22238883007362334,0.04440206826665364,0.0,0.7249310027598896,0.630170859062172,0.6857977384307034,0.6442789259142917,0.0001
5,1.2107152712796978,0.49988413334342313,1.305912424562753,0.18406836693915352,0.03652757777506976,0.0820507744753574,1.506770258335861,0.667649445011732,1.55164449436465,0.23641678559993973,0.04194369047825339,0.0,0.7442502299908004,0.6473744935747383,0.6848691987362568,0.6558380086980118,0.0001
6,1.071374277056955,0.43607107108252985,1.1827340180212884,0.1378295188841779,0.03483704363106262,0.05995109157213887,1.4107827891312066,0.6311048463932833,1.4408232909117473,0.22178612413654222,0.038197677695597655,0.0,0.7626494940202392,0.6605908729626229,0.7010080154940064,0.6737341893066543,0.0001
7,0.9581214849095799,0.378871842305039,1.0822453557273939,0.12062111594511843,0.03100269433095427,0.048714140890290275,1.4466281187238228,0.6617342658621955,1.4418035058001366,0.24048875414842624,0.03869919392529604,0.0,0.7562097516099356,0.6670638546483845,0.7181953641052329,0.680073535652035,0.0001
8,0.8866666699714381,0.35124581064537275,1.0014984979826345,0.11184690629952151,0.030026622353878304,0.03707220469343209,1.4530505954177422,0.6632197969203272,1.476667740965723,0.1910045487735945,0.037457768391499086,0.0,0.7626494940202392,0.6726298832845967,0.6728060031681486,0.6693053426446375,0.0001
9,0.7458369788089236,0.27840433663190134,0.8816532871982933,0.08129396102176605,0.028745482270044923,0.03407962448675108,1.5491486082629753,0.7258120854183854,1.4902709225722157,0.2962194264154425,0.041462075989950435,0.0,0.7488500459981601,0.6500552188082163,0.7092421969515406,0.6654290053336132,0.0001
10,0.704827321666317,0.2645935413027879,0.8277482877626474,0.08179967224784232,0.02767857257369185,0.03141859232732645,1.532385045931552,0.7224266030093125,1.4857607843027054,0.25264016270171424,0.03917997379092416,0.0,0.7543698252069917,0.6451249882657077,0.6844906499270299,0.6590222723763142,0.0001
11,0.6180340701636163,0.22518743406356528,0.7485440032400292,0.05611773286832452,0.026504875540934426,0.018947122972930823,1.5361193669642894,0.7253328951104804,1.489574396730895,0.25010552634112365,0.03472878699633871,0.0,0.7681692732290708,0.6624681553686957,0.6867692116664235,0.6720967847920517,5e-05
12,0.5198395773635353,0.1808165103451414,0.6483416069970999,0.042946212967433735,0.0238495678172376,0.017307542752370862,1.4606936717099188,0.6813509964899065,1.4497718567571842,0.20420380888494774,0.034057999206252784,0.0,0.7801287948482061,0.6826973465274322,0.6782458525140733,0.6783216009380243,5e-05
13,0.4542956287649374,0.1532496449806123,0.5806516345755215,0.029956844158279892,0.022292847740499954,0.010016700731200692,1.5082365769032722,0.7146534510676534,1.460272990461874,0.23997035548570733,0.0345404426179134,0.0,0.7801287948482061,0.6897962889662921,0.7044359912682816,0.6963560005225102,5e-05
14,0.4564241769177073,0.1557402197810529,0.5768899849942574,0.03647507528655599,0.023707614366226096,0.007494345261572559,1.5327944793938055,0.7262883064608675,1.4871879603299067,0.23698816285490057,0.036651560496932994,0.0,0.7782888684452622,0.6809082646791853,0.6828097909606476,0.6778132542973471,5e-05
