actual/predicted,target_mineral,ti_bearing_negative,gangue_negative,metallic_hard_negative
target_mineral,179,36,18,18
ti_bearing_negative,55,354,56,26
gangue_negative,15,38,295,18
metallic_hard_negative,21,22,21,112
