actual/predicted,target_mineral,ti_bearing_negative,gangue_negative,metallic_hard_negative
target_mineral,178,45,10,18
ti_bearing_negative,43,381,48,19
gangue_negative,12,35,306,13
metallic_hard_negative,20,20,14,122
