protocol,diagnostic,stratum,rank_metric,rank_metric_min,rank_metric_max,sample_count,mean_routing_regret_nll,mean_b1_local_bound,mean_oracle_margin,mean_soft_hard_deviation,mean_b2_bound,b1_local_max_residual,b1_local_violation_count,b2_max_residual,b2_violation_count
fixed,B.1 local bound,T1,b1_local_bound,0.0,0.0017335769704849642,1284,0.00038083804515815265,0.0003814622695558738,0.0008598043838525056,0.49892525825173684,0.9957247664826285,8.977622951825926e-08,0,-0.47518566842181514,0
fixed,B.1 local bound,T2,b1_local_bound,0.0017420861347142102,0.052680745163579276,1284,0.015210775564558144,0.015899629484868054,0.03306489275740775,0.4590834224962186,0.8565446412850375,-3.75959186785799e-06,0,-0.07125959806243129,0
fixed,B.1 local bound,T3,b1_local_bound,0.052692000711912206,25.692908503525388,1284,0.22702155749362857,0.6834818457671654,0.6105854691903353,0.14067349487248507,0.19094923916611653,-0.0029845952243420584,0,5.942525751546809e-08,0
photographer_holdout,B.1 local bound,T1,b1_local_bound,5.839377367022584e-08,0.0053151536568330346,846,0.0014064499165242436,0.0014139810453972675,0.0031477251723229433,0.4960659215354469,0.9845436196602947,8.154771370528341e-08,0,-0.42197118880493123,0
photographer_holdout,B.1 local bound,T2,b1_local_bound,0.005339545520438092,0.07324674747945384,846,0.02522824273717726,0.026798968345056785,0.05432823174644378,0.43326411970470535,0.775388890818545,-2.0900961842382562e-05,0,-0.04696086145064293,0
photographer_holdout,B.1 local bound,T3,b1_local_bound,0.07326069310766208,55.25867036767994,846,0.2206561515288291,0.592420590347851,0.5687124041733368,0.13492342579483618,0.17567292563720105,-0.005000259340648766,0,3.9537171234323674e-08,0
resnet50_portability,B.1 local bound,T1,b1_local_bound,0.0,0.0005575492842874044,1284,0.00012735578607616356,0.00012741402778946993,0.00026296842761362716,0.49967128829885493,0.9986871886653587,9.409676244607083e-08,0,-0.4949314677403162,0
resnet50_portability,B.1 local bound,T2,b1_local_bound,0.0005606080736971199,0.038413267576181916,1284,0.00886321246082354,0.009125675407332742,0.018036445274597777,0.47754663974046707,0.9178847977583949,-3.577942786746075e-07,0,-0.2534980326751276,0
resnet50_portability,B.1 local bound,T3,b1_local_bound,0.03864112438548861,162.26633060007998,1284,0.24624220864713842,1.0729787986967647,0.6997292858189685,0.1422316606244882,0.2025095731294303,-0.0018605624417238967,0,5.672486154826759e-08,0
