protocol,diagnostic,stratum,rank_metric,rank_metric_min,rank_metric_max,sample_count,mean_routing_regret_nll,mean_b1_local_bound,mean_oracle_margin,mean_soft_hard_deviation,mean_b2_bound,mean_exact_decomposition_abs_residual,exact_decomposition_max_abs_residual,exact_decomposition_violation_count,b1_local_max_residual,b1_local_violation_count,b2_max_residual,b2_violation_count
fixed,B.2 margin,T1,oracle_margin,0.0,0.0037280069289605824,1284,0.0003948230546703411,0.00039543821672907985,0.0008364683424659688,0.4989544250929838,0.9958390751074867,2.626916742365051e-08,1.153018680114578e-07,0,8.977622951825926e-08,0,-0.4861925075248018,0
fixed,B.2 margin,T2,oracle_margin,0.0037416877800992418,0.10493153409340836,1284,0.015476325305336148,0.016143297726595753,0.032306626894012126,0.45994173568264346,0.8585669630066142,3.327501785266339e-08,6.97540767356699e-07,0,-3.172866324737604e-06,0,-0.21999414009249474,0
fixed,B.2 margin,T3,oracle_margin,0.105002391400963,4.360181353686818,1284,0.22674202274333835,0.6832242015782645,0.6113670710951175,0.13978601484481315,0.18881260881968165,7.808639565957432e-08,7.79418790786135e-07,0,-0.0033362755284664716,0,5.942525751546809e-08,0
photographer_holdout,B.2 margin,T1,oracle_margin,1.7881417491182445e-07,0.011474719189345173,846,0.001456547857692025,0.0014637445096467299,0.003020501070339879,0.49622479130472136,0.9851414839783459,2.7581244191261514e-08,2.505657400650712e-07,0,8.154771370528341e-08,0,-0.45858068578453626,0
photographer_holdout,B.2 margin,T2,oracle_margin,0.011481139585822874,0.13864789010053036,846,0.025688342554120464,0.027231757966694494,0.053399675993783764,0.43422363980301165,0.7771679873152422,3.61359386770318e-08,4.014132450325114e-07,0,-3.729914166221513e-05,0,-0.1666410576897009,0
photographer_holdout,B.2 margin,T3,oracle_margin,0.13932002063718052,5.049078991425201,846,0.2201459537707181,0.5919380372619638,0.5697681840279799,0.13380503592725534,0.17329596482245255,7.451499905705967e-08,7.667773231634367e-07,0,-0.004402736848298568,0,3.9537171234323674e-08,0
resnet50_portability,B.2 margin,T1,oracle_margin,0.0,0.001144931461083092,1284,0.00012829759140171184,0.00012835555093378058,0.00026153856011607637,0.4996730756490401,0.9986942972854429,2.6823467905042106e-08,9.925389287120481e-08,0,9.409676244607083e-08,0,-0.49572286444782376,0
resnet50_portability,B.2 margin,T2,oracle_margin,0.0011497491311444523,0.07432936156870351,1284,0.008914073994039597,0.009174934615967925,0.017943954468089895,0.47765820055642977,0.9182004171935446,3.1020873677018525e-08,5.114492620823113e-07,0,-4.000968398836695e-07,0,-0.2814545973100703,0
resnet50_portability,B.2 margin,T3,oracle_margin,0.07497257342384261,5.578977644286073,1284,0.24619040530859682,1.0729285979649852,0.6998232064929739,0.1421183124583403,0.20218684507419643,9.10351297789842e-08,8.442901215932608e-07,0,-0.0018806816452267734,0,5.672486154826759e-08,0
