configuration,metric,mean,sample_std,seed_20260727,seed_20260728,seed_20260729
hrgv_reference,accuracy,0.7536344755970924,0.016709797551146537,0.764797507788162,0.7616822429906542,0.7344236760124611
hrgv_reference,macro_f1,0.7329426539962043,0.018522092785023644,0.7458299338484289,0.7412809772226933,0.7117170509174908
hrgv_reference,target_recall,0.7304116865869854,0.04668896635125353,0.6772908366533864,0.749003984063745,0.7649402390438247
hrgv_reference,target_miss_rate,0.26958831341301465,0.04668896635125353,0.3227091633466136,0.250996015936255,0.2350597609561753
hrgv_reference,ti_to_target_intrusion_rate,0.08689748811948404,0.018480186814414396,0.07331975560081466,0.07942973523421588,0.1079429735234216
hrgv_reference,metallic_to_target_intrusion_rate,0.12878787878787878,0.03230818581293935,0.10227272727272728,0.11931818181818182,0.16477272727272727
hrgv_reference,direct_accuracy,0.7518172377985463,0.017368357926975872,0.764797507788162,0.7585669781931464,0.7320872274143302
hrgv_reference,mapped_accuracy,0.7531152647975078,0.016649188727750737,0.7663551401869159,0.7585669781931464,0.7344236760124611
hrgv_reference,fused_accuracy,0.7536344755970924,0.016709797551146537,0.764797507788162,0.7616822429906542,0.7344236760124611
hrgv_reference,oracle_accuracy,0.7718068535825545,0.013285609119339539,0.7827102803738317,0.7757009345794392,0.7570093457943925
hrgv_reference,expert_prediction_disagreement_rate,0.04750778816199377,0.008242215922319598,0.04127725856697819,0.04439252336448598,0.05685358255451713
hrgv_reference,one_right_one_wrong_rate,0.038681204569055036,0.0076440456201118685,0.03426791277258567,0.03426791277258567,0.04750778816199377
hrgv_reference,one_right_gate_selection_accuracy,0.5524093392945851,0.08070197225356544,0.5454545454545454,0.6363636363636364,0.47540983606557374
hrgv_reference,mean_routing_regret_nll,0.11838706282450674,0.008512209633714218,0.11114482398753894,0.12776319704049843,0.11625316744548286
hrgv_reference,complementarity_recovery,0.028860028860030137,0.14076477227425227,-0.095238095238092,0.1818181818181824,0.0
rsg_complete,accuracy,0.7663551401869159,0.006374885336349251,0.764797507788162,0.7733644859813084,0.7609034267912772
rsg_complete,macro_f1,0.7428104410585593,0.007627244199533343,0.7455389538349848,0.7486981683714435,0.7341942009692495
rsg_complete,target_recall,0.7290836653386454,0.03007902165446511,0.7569721115537849,0.6972111553784861,0.7330677290836654
rsg_complete,target_miss_rate,0.27091633466135456,0.03007902165446511,0.24302788844621515,0.3027888446215139,0.26693227091633465
rsg_complete,ti_to_target_intrusion_rate,0.07942973523421588,0.01775518917939175,0.09979633401221996,0.06720977596741344,0.07128309572301425
rsg_complete,metallic_to_target_intrusion_rate,0.15151515151515152,0.02802774353588776,0.16477272727272727,0.11931818181818182,0.17045454545454544
rsg_complete,direct_accuracy,0.7629802699896158,0.0065315397847399,0.7663551401869159,0.7671339563862928,0.7554517133956387
rsg_complete,mapped_accuracy,0.7642782969885774,0.006295096393033308,0.7632398753894081,0.7710280373831776,0.7585669781931464
rsg_complete,fused_accuracy,0.7663551401869159,0.006374885336349251,0.764797507788162,0.7733644859813084,0.7609034267912772
rsg_complete,oracle_accuracy,0.7834890965732088,0.006230529595015577,0.7834890965732088,0.7897196261682243,0.7772585669781932
rsg_complete,expert_prediction_disagreement_rate,0.04880581516095535,0.0016212352020764276,0.048286604361370715,0.04750778816199377,0.050623052959501556
rsg_complete,one_right_one_wrong_rate,0.0397196261682243,0.0020605539805798995,0.037383177570093455,0.04127725856697819,0.040498442367601244
rsg_complete,one_right_gate_selection_accuracy,0.5197548782454443,0.09030795184242278,0.4166666666666667,0.5849056603773585,0.5576923076923077
rsg_complete,mean_routing_regret_nll,0.08507759086188993,0.0046697626439077275,0.0834516230529595,0.08143817601246106,0.09034297352024923
rsg_complete,complementarity_recovery,0.05303030303030124,0.1246551717568464,-0.09090909090908737,0.12499999999999555,0.12499999999999555
