configuration,seed,count,direct_accuracy,mapped_accuracy,fused_accuracy,oracle_accuracy,expert_prediction_disagreement_rate,one_right_one_wrong_count,one_right_one_wrong_rate,one_right_gate_selection_accuracy,mean_routing_regret_nll,complementarity_recovery
hrgv_reference,20260727,1284,0.764797507788162,0.7663551401869159,0.764797507788162,0.7827102803738317,0.04127725856697819,44,0.03426791277258567,0.5454545454545454,0.11114482398753894,-0.095238095238092
hrgv_reference,20260728,1284,0.7585669781931464,0.7585669781931464,0.7616822429906542,0.7757009345794392,0.04439252336448598,44,0.03426791277258567,0.6363636363636364,0.12776319704049843,0.1818181818181824
hrgv_reference,20260729,1284,0.7320872274143302,0.7344236760124611,0.7344236760124611,0.7570093457943925,0.05685358255451713,61,0.04750778816199377,0.47540983606557374,0.11625316744548286,0.0
rsg_complete,20260727,1284,0.7663551401869159,0.7632398753894081,0.764797507788162,0.7834890965732088,0.048286604361370715,48,0.037383177570093455,0.4166666666666667,0.0834516230529595,-0.09090909090908737
rsg_complete,20260728,1284,0.7671339563862928,0.7710280373831776,0.7733644859813084,0.7897196261682243,0.04750778816199377,53,0.04127725856697819,0.5849056603773585,0.08143817601246106,0.12499999999999555
rsg_complete,20260729,1284,0.7554517133956387,0.7585669781931464,0.7609034267912772,0.7772585669781932,0.050623052959501556,52,0.040498442367601244,0.5576923076923077,0.09034297352024923,0.12499999999999555
