actual/predicted,target_mineral,ti_bearing_negative,gangue_negative,metallic_hard_negative
target_mineral,189,38,10,14
ti_bearing_negative,46,375,51,19
gangue_negative,15,24,317,10
metallic_hard_negative,21,26,18,111
