reference,comparison,metric,reference_mean,comparison_mean,difference,favorable_direction,oriented_improvement
rsg_complete,mrpg_complete,accuracy,0.7645379023883697,0.7577881619937694,-0.006749740394600301,1,-0.006749740394600301
rsg_complete,mrpg_complete,macro_f1,0.747550888495354,0.7434486531302279,-0.004102235365126106,1,-0.004102235365126106
rsg_complete,mrpg_complete,target_recall,0.7290836653386454,0.7583001328021248,0.02921646746347939,1,0.02921646746347939
rsg_complete,mrpg_complete,target_miss_rate,0.27091633466135456,0.24169986719787517,-0.02921646746347939,-1,0.02921646746347939
rsg_complete,mrpg_complete,ti_to_target_intrusion_rate,0.08418194161575017,0.10047522063815342,0.016293279022403254,-1,-0.016293279022403254
rsg_complete,mrpg_complete,metallic_to_target_intrusion_rate,0.11174242424242424,0.10795454545454546,-0.0037878787878787845,-1,0.0037878787878787845
rsg_complete,mrpg_complete,direct_accuracy,0.7596053997923157,0.75,-0.009605399792315672,0,-0.0
rsg_complete,mrpg_complete,mapped_accuracy,0.7663551401869159,0.7585669781931464,-0.007788161993769416,0,-0.0
rsg_complete,mrpg_complete,fused_accuracy,0.7645379023883697,0.7577881619937694,-0.006749740394600301,1,-0.006749740394600301
rsg_complete,mrpg_complete,oracle_accuracy,0.7871235721703012,0.7780373831775701,-0.009086188992731059,0,-0.0
rsg_complete,mrpg_complete,expert_prediction_disagreement_rate,0.056074766355140186,0.058930425752855654,0.002855659397715468,0,0.0
rsg_complete,mrpg_complete,one_right_one_wrong_rate,0.048286604361370715,0.04750778816199377,-0.0007788161993769471,0,-0.0
rsg_complete,mrpg_complete,one_right_gate_selection_accuracy,0.5801457194899817,0.5950703603651324,0.014924640875150663,1,0.014924640875150663
rsg_complete,mrpg_complete,mean_routing_regret_nll,0.08087104776739357,0.08267792575285567,0.0018068779854620992,-1,-0.0018068779854620992
rsg_complete,mrpg_complete,complementarity_recovery,-0.08619047619047676,-0.03656220322887025,0.04962827296160651,1,0.04962827296160651
rsg_complete,mrpg_complete,brier_score,0.370170454270061,0.3749582374135607,0.004787783143499702,-1,-0.004787783143499702
rsg_complete,mrpg_complete,expected_calibration_error,0.12900819444444442,0.14071077985462097,0.011702585410176547,-1,-0.011702585410176547
rsg_complete,mrpg_unconstrained_between,accuracy,0.7645379023883697,0.7616822429906542,-0.002855659397715482,1,-0.002855659397715482
rsg_complete,mrpg_unconstrained_between,macro_f1,0.747550888495354,0.745031982732288,-0.002518905763066015,1,-0.002518905763066015
rsg_complete,mrpg_unconstrained_between,target_recall,0.7290836653386454,0.7556440903054449,0.026560424966799445,1,0.026560424966799445
rsg_complete,mrpg_unconstrained_between,target_miss_rate,0.27091633466135456,0.24435590969455512,-0.026560424966799445,-1,0.026560424966799445
rsg_complete,mrpg_unconstrained_between,ti_to_target_intrusion_rate,0.08418194161575017,0.08893414799728445,0.004752206381534285,-1,-0.004752206381534285
rsg_complete,mrpg_unconstrained_between,metallic_to_target_intrusion_rate,0.11174242424242424,0.125,0.01325757575757576,-1,-0.01325757575757576
rsg_complete,mrpg_unconstrained_between,direct_accuracy,0.7596053997923157,0.7523364485981308,-0.007268951194184914,0,-0.0
rsg_complete,mrpg_unconstrained_between,mapped_accuracy,0.7663551401869159,0.7666147455867082,0.00025960539979230646,0,0.0
rsg_complete,mrpg_unconstrained_between,fused_accuracy,0.7645379023883697,0.7616822429906542,-0.002855659397715482,1,-0.002855659397715482
rsg_complete,mrpg_unconstrained_between,oracle_accuracy,0.7871235721703012,0.782969885773624,-0.004153686396677125,0,-0.0
rsg_complete,mrpg_unconstrained_between,expert_prediction_disagreement_rate,0.056074766355140186,0.05685358255451713,0.0007788161993769471,0,0.0
rsg_complete,mrpg_unconstrained_between,one_right_one_wrong_rate,0.048286604361370715,0.046988577362409134,-0.0012980269989615809,0,-0.0
rsg_complete,mrpg_unconstrained_between,one_right_gate_selection_accuracy,0.5801457194899817,0.6350103129764146,0.05486459348643291,1,0.05486459348643291
rsg_complete,mrpg_unconstrained_between,mean_routing_regret_nll,0.08087104776739357,0.07983019288681205,-0.0010408548805815182,-1,0.0010408548805815182
