actual/predicted,target_mineral,ti_bearing_negative,gangue_negative,metallic_hard_negative
target_mineral,162,49,20,20
ti_bearing_negative,40,375,55,21
gangue_negative,9,36,296,25
metallic_hard_negative,16,27,18,115
