epoch,train_loss,val_loss,accuracy,macro_precision,macro_recall,macro_f1,learning_rate
1,1.0841390092667669,0.8912520980537866,0.6433021806853583,0.6244031073797806,0.6503872747362465,0.627596144068628,0.0001
2,0.8120268355118231,0.7746134368801414,0.6915887850467289,0.6668060319423297,0.6887410074360877,0.6740147835321554,0.0001
3,0.7008462252282512,0.7401202387898882,0.7087227414330218,0.6873840401361547,0.7074678291581724,0.6937653819853998,0.0001
4,0.5943756019923135,0.728338072975848,0.7095015576323987,0.6863943053273736,0.7086784882520873,0.6937009842651558,0.0001
5,0.49190516969118114,0.762917490066769,0.7087227414330218,0.6871948672796131,0.7135042694120091,0.6953731170303824,0.0001
6,0.43523347075554253,0.7797451963955739,0.7079439252336449,0.6893011988975782,0.6961610368989419,0.6898492909270134,0.0001
7,0.3867141568226775,0.8094300497729459,0.7204049844236761,0.7036122550588569,0.7311697469455616,0.7108309830749477,0.0001
8,0.3415096448764087,0.8196747011484758,0.7297507788161994,0.7080830163006306,0.7345578127616447,0.7169432163263055,0.0001
9,0.2743804357912172,0.8511891784233467,0.7188473520249221,0.6937277506315163,0.7121506334765005,0.6998365761747365,0.0001
10,0.25410987958974474,0.8405507791822202,0.7328660436137072,0.7123406991072498,0.7215013595702909,0.7161660663867996,0.0001
11,0.22938608798134189,0.8747649425843794,0.7258566978193146,0.709154843713866,0.7302935619359275,0.7157108186978003,0.0001
12,0.19567817754417313,0.8802645127535609,0.7289719626168224,0.7144251655181819,0.7187784703129856,0.7148977571896878,5e-05
13,0.16197433113686852,0.8770333068485944,0.7398753894080997,0.7164424656118902,0.7319584277806629,0.72291095389663,5e-05
14,0.1577824458137412,0.8897318147888807,0.75,0.7355808288831587,0.7324085823679677,0.7337550752816892,5e-05
15,0.13184463931317897,0.9409272890317477,0.7328660436137072,0.709612156207184,0.7264101877762142,0.7162064341552323,5e-05
16,0.1231020561828297,0.9192996073363354,0.75,0.731896425536551,0.73809282401364,0.734631966011027,5e-05
17,0.11233858767421308,0.948663050651179,0.7523364485981309,0.7369377589125014,0.7389918868762116,0.7374806630113697,5e-05
18,0.11082933099827617,0.9615538625330939,0.7507788161993769,0.7423280274057521,0.7249465650389837,0.7323346751694773,5e-05
19,0.0956170485786015,1.0506150526606777,0.7204049844236761,0.7028870978224263,0.7048613492780846,0.7031147718580109,5e-05
20,0.09166184140157127,1.0431521893290345,0.7188473520249221,0.6976126000748851,0.7092009889440467,0.702494162370557,5e-05
21,0.09329779004102244,1.0281672194553684,0.7219626168224299,0.6993613803985321,0.7170281361147424,0.7064468077174858,2.5e-05
22,0.0884555961416134,1.0484100604354407,0.7297507788161994,0.7058516150647128,0.7181320349319241,0.7111638384260385,2.5e-05
23,0.07353561862395766,1.0473969173951312,0.7297507788161994,0.7161449024255923,0.7135582695646956,0.7135996275342009,2.5e-05
24,0.07063614349012966,1.0794290446696624,0.7336448598130841,0.7133562415677837,0.7296649839726219,0.7197479099327527,2.5e-05
25,0.06917344439548835,1.0277098881956945,0.7429906542056075,0.7278235439894662,0.7261817557762494,0.7265510679386277,1.25e-05
