actual/predicted,target_mineral,ti_bearing_negative,gangue_negative,metallic_hard_negative
target_mineral,183,34,12,22
ti_bearing_negative,47,366,56,22
gangue_negative,13,29,312,12
metallic_hard_negative,21,24,23,108
