epoch,train_loss,val_loss,accuracy,macro_precision,macro_recall,macro_f1,learning_rate
1,0.5681067156103748,0.44364521353044245,0.6386292834890965,0.6170067333962108,0.64070793382702,0.6207741534789485,0.0001
2,0.39976166733917906,0.38467596666278125,0.6900311526479751,0.6665668471215873,0.6863045154698835,0.6731428320349508,0.0001
3,0.3332044795003039,0.360834703499283,0.6970404984423676,0.6740796251984471,0.6935789655075996,0.6804110757322495,0.0001
4,0.2757618205721517,0.3574453105343465,0.7017133956386293,0.679839007666699,0.7018493633818004,0.6867479239969155,0.0001
5,0.21891461778479002,0.3575734125676556,0.6993769470404985,0.6777401477832512,0.6997979658126585,0.685205304455378,0.0001
6,0.19146744739917315,0.36015012024719023,0.7165109034267912,0.6943598587940172,0.7034910309202885,0.6960878568782342,0.0001
7,0.16895779094136495,0.36986490898414565,0.7227414330218068,0.7050576111541067,0.7213769328911078,0.7094432022575503,0.0001
8,0.15025421606576436,0.36731204566925857,0.7344236760124611,0.7140410006070417,0.728728328795149,0.719493174209817,0.0001
9,0.11618937208006154,0.39479342000878115,0.7141744548286605,0.6907287727318123,0.7113604669318889,0.6974710735849097,0.0001
10,0.10504902068621169,0.3946000017295374,0.7320872274143302,0.7175909473821374,0.7203450923989417,0.7171914815441536,0.0001
11,0.09307059413861096,0.4086821197976019,0.7367601246105919,0.7188262279153694,0.7309962243060064,0.7224002598020958,0.0001
12,0.0811183405538555,0.41791670502531936,0.7281931464174455,0.7133300025861478,0.716753375362984,0.7141268907849931,0.0001
13,0.08153757727565111,0.4349282101098436,0.7258566978193146,0.705851831433959,0.7155508991385775,0.7102088215022188,0.0001
14,0.0780840550506051,0.4425489383044644,0.7219626168224299,0.70848674993127,0.7086751348024547,0.7078574742318815,0.0001
15,0.0658490506007535,0.47942594807838723,0.7172897196261683,0.6973890990926601,0.7211212010967043,0.7057125594114725,5e-05
16,0.05489707100452757,0.41975904072742226,0.7390965732087228,0.7243110522421636,0.7258484893611072,0.7244951450705218,5e-05
17,0.04591774252958745,0.44662196685870487,0.7414330218068536,0.720793337097685,0.7292221284948653,0.7245037227938727,5e-05
18,0.04152192352684907,0.45868566171541764,0.75,0.7363194841486779,0.7237593084617582,0.7291866742741108,5e-05
19,0.03495702612160827,0.4893243460454673,0.7305295950155763,0.7102078124437785,0.7145435419075957,0.7121973931115166,5e-05
20,0.03232845731471418,0.4782622443204543,0.7429906542056075,0.724702991897315,0.736153485196785,0.7297004777655115,5e-05
21,0.035922228005905166,0.49437495991819747,0.7274143302180686,0.7068214182178073,0.7193390879835979,0.7121354674980753,5e-05
22,0.0371319256757924,0.5142223424745311,0.735202492211838,0.7128206055217737,0.7261046999504555,0.7183092761026303,5e-05
23,0.030239749148943004,0.5052296971797804,0.719626168224299,0.7022028028113387,0.6991105362848968,0.6994440688645409,5e-05
24,0.030389907079452116,0.5025044006536311,0.7406542056074766,0.7197162318935202,0.7340153861572338,0.7255078218461987,2.5e-05
25,0.02702925546070793,0.47844377788497466,0.7344236760124611,0.7170221343861515,0.7212233748069034,0.7186350765393227,2.5e-05
26,0.0236722846873882,0.5026050081993003,0.735981308411215,0.7174161582771957,0.7270659097056824,0.7211205539510092,2.5e-05
27,0.020815240807600527,0.5063090819772623,0.735981308411215,0.7194030006420333,0.7200973427194736,0.7189298537277716,2.5e-05
28,0.02271151432177407,0.5057405785532709,0.735202492211838,0.7163957105740073,0.7184528137214337,0.7172997187163133,1.25e-05
