actual/predicted,target_mineral,ti_bearing_negative,gangue_negative,metallic_hard_negative
target_mineral,183,42,13,13
ti_bearing_negative,43,384,52,12
gangue_negative,15,37,293,21
metallic_hard_negative,27,22,18,109
