actual/predicted,target_mineral,ti_bearing_negative,gangue_negative,metallic_hard_negative
target_mineral,177,37,17,20
ti_bearing_negative,44,372,56,19
gangue_negative,10,26,317,13
metallic_hard_negative,21,21,18,116
