actual/predicted,target_mineral,ti_bearing_negative,gangue_negative,metallic_hard_negative
target_mineral,171,48,18,14
ti_bearing_negative,38,379,56,18
gangue_negative,7,30,319,10
metallic_hard_negative,21,23,23,109
