actual/predicted,target_mineral,ti_bearing_negative,gangue_negative,metallic_hard_negative
target_mineral,196,30,10,15
ti_bearing_negative,50,342,71,28
gangue_negative,16,27,306,17
metallic_hard_negative,27,22,19,108
