actual/predicted,target_mineral,ti_bearing_negative,gangue_negative,metallic_hard_negative
target_mineral,183,42,10,16
ti_bearing_negative,42,370,59,20
gangue_negative,12,30,310,14
metallic_hard_negative,23,21,22,110
