actual/predicted,target_mineral,ti_bearing_negative,gangue_negative,metallic_hard_negative
target_mineral,177,45,12,17
ti_bearing_negative,40,386,42,23
gangue_negative,9,40,305,12
metallic_hard_negative,18,21,20,117
