actual/predicted,target_mineral,ti_bearing_negative,gangue_negative,metallic_hard_negative
target_mineral,181,43,15,12
ti_bearing_negative,55,368,50,18
gangue_negative,14,36,303,13
metallic_hard_negative,27,22,24,103
