epoch,train_loss,val_loss,accuracy,macro_precision,macro_recall,macro_f1,learning_rate
1,1.0192377018740544,0.8061018428327138,0.6806853582554517,0.6659185919907826,0.686191822094376,0.6673207341321351,0.0001
2,0.7227987459773406,0.8032440166235713,0.6861370716510904,0.6726634826425352,0.7008120588465377,0.6732532520727612,0.0001
3,0.5913967095431696,0.7286679112465582,0.7289719626168224,0.7192595737569835,0.7313105198852274,0.7179078744106606,0.0001
4,0.5003193471280146,0.7897472123490688,0.7141744548286605,0.7097754304232418,0.72969547164915,0.7039648827222237,0.0001
5,0.4197484611405,0.8009356488227102,0.7126168224299065,0.7057122653879616,0.7208289938614341,0.7024843220376201,0.0001
6,0.3372837531598617,0.7640922023824813,0.7476635514018691,0.7255568744452643,0.7436297997700905,0.732810177811827,0.0001
7,0.2855177585049936,0.8866080434708581,0.7126168224299065,0.6876202445502909,0.7008069319077559,0.6915162245793142,0.0001
8,0.2600692152762009,0.8956849946991491,0.7235202492211839,0.70907381751752,0.7185279172953992,0.7072901779000409,0.0001
9,0.21431968773102283,1.0881718442517092,0.7032710280373832,0.6890035174290585,0.705372138658262,0.681751007736136,0.0001
10,0.19387505568827665,0.9110640082218194,0.7344236760124611,0.7291886407419527,0.7403657399596794,0.7267777519400422,5e-05
11,0.1320676220403764,0.8670712896619817,0.7538940809968847,0.7363425359441296,0.7402064784349061,0.7373857052698684,5e-05
12,0.08964442547846313,0.9661262184366979,0.764018691588785,0.7557594213695908,0.7471717862224556,0.7499385720799333,5e-05
13,0.07724484888065873,1.040377499178818,0.7429906542056075,0.7235226688412306,0.7274299129340925,0.7243236054915553,5e-05
14,0.07278676146716054,1.0376529795033538,0.7570093457943925,0.7451307123438874,0.7468944844644549,0.743019350480461,5e-05
15,0.06959219648746652,1.0221419264954106,0.7593457943925234,0.7499515078944669,0.7415766287117996,0.7448012160262436,5e-05
16,0.06930107261121243,1.125748464274815,0.7398753894080997,0.7289930520392942,0.7323435124384581,0.7267437729136611,2.5e-05
17,0.05002292041457293,1.0178692826995412,0.7585669781931464,0.7461275452475169,0.7419738287038826,0.7421184674013462,2.5e-05
18,0.044367451078576085,1.054364258986303,0.7468847352024922,0.7267560063952985,0.7325443216773155,0.7284427203645925,2.5e-05
19,0.03366610642335559,1.065490299319367,0.7562305295950156,0.7415077933572147,0.7455919451233133,0.7410421627842684,2.5e-05
20,0.02758185932813645,1.152437571494193,0.7414330218068536,0.7243399806697373,0.7405346857719673,0.7298916869403389,1.25e-05
