actual/predicted,target_mineral,ti_bearing_negative,gangue_negative,metallic_hard_negative
target_mineral,181,31,15,23
ti_bearing_negative,55,373,32,30
gangue_negative,23,38,295,11
metallic_hard_negative,26,17,9,125
