actual/predicted,target_mineral,ti_bearing_negative,gangue_negative,metallic_hard_negative
target_mineral,179,29,17,25
ti_bearing_negative,74,347,47,22
gangue_negative,20,29,305,13
metallic_hard_negative,23,9,6,139
