configuration,seed,count,direct_accuracy,mapped_accuracy,fused_accuracy,oracle_accuracy,expert_prediction_disagreement_rate,one_right_one_wrong_count,one_right_one_wrong_rate,one_right_gate_selection_accuracy,mean_routing_regret_nll,complementarity_recovery
hrgv_reference,20260728,1284,0.7570093457943925,0.7609034267912772,0.7671339563862928,0.7873831775700935,0.06074766355140187,73,0.05685358255451713,0.4383561643835616,0.10088592289719626,0.23529411764705832
rsg_complete,20260728,1284,0.7531152647975078,0.764797507788162,0.7632398753894081,0.7842679127725857,0.059190031152647975,65,0.050623052959501556,0.6,0.08257281697819314,-0.08000000000000297
rsg_hard_target,20260728,1284,0.7577881619937694,0.7655763239875389,0.7616822429906542,0.7881619937694704,0.06230529595015576,68,0.0529595015576324,0.4852941176470588,0.10711827258566978,-0.17241379310344726
rsg_unweighted,20260728,1284,0.7484423676012462,0.764797507788162,0.7609034267912772,0.7850467289719626,0.06542056074766354,73,0.05685358255451713,0.6301369863013698,0.08242403115264797,-0.19230769230769695
rsg_coupled_gate,20260728,1284,0.7554517133956387,0.7577881619937694,0.7546728971962616,0.780373831775701,0.05685358255451713,61,0.04750778816199377,0.4426229508196721,0.0757743761682243,-0.13793103448275812
