configuration,metric,mean,sample_std,seed_20260728
hrgv_reference,accuracy,0.7671339563862928,0.0,0.7671339563862928
hrgv_reference,macro_f1,0.7493888243636889,0.0,0.7493888243636889
hrgv_reference,target_recall,0.7051792828685259,0.0,0.7051792828685259
hrgv_reference,target_miss_rate,0.29482071713147406,0.0,0.29482071713147406
hrgv_reference,ti_to_target_intrusion_rate,0.0814663951120163,0.0,0.0814663951120163
hrgv_reference,metallic_to_target_intrusion_rate,0.10227272727272728,0.0,0.10227272727272728
hrgv_reference,direct_accuracy,0.7570093457943925,0.0,0.7570093457943925
hrgv_reference,mapped_accuracy,0.7609034267912772,0.0,0.7609034267912772
hrgv_reference,fused_accuracy,0.7671339563862928,0.0,0.7671339563862928
hrgv_reference,oracle_accuracy,0.7873831775700935,0.0,0.7873831775700935
hrgv_reference,expert_prediction_disagreement_rate,0.06074766355140187,0.0,0.06074766355140187
hrgv_reference,one_right_one_wrong_rate,0.05685358255451713,0.0,0.05685358255451713
hrgv_reference,one_right_gate_selection_accuracy,0.4383561643835616,0.0,0.4383561643835616
hrgv_reference,mean_routing_regret_nll,0.10088592289719626,0.0,0.10088592289719626
hrgv_reference,complementarity_recovery,0.23529411764705832,0.0,0.23529411764705832
rsg_complete,accuracy,0.7632398753894081,0.0,0.7632398753894081
rsg_complete,macro_f1,0.7455702848835618,0.0,0.7455702848835618
rsg_complete,target_recall,0.7211155378486056,0.0,0.7211155378486056
rsg_complete,target_miss_rate,0.2788844621513944,0.0,0.2788844621513944
rsg_complete,ti_to_target_intrusion_rate,0.07739307535641547,0.0,0.07739307535641547
rsg_complete,metallic_to_target_intrusion_rate,0.11363636363636363,0.0,0.11363636363636363
rsg_complete,direct_accuracy,0.7531152647975078,0.0,0.7531152647975078
rsg_complete,mapped_accuracy,0.764797507788162,0.0,0.764797507788162
rsg_complete,fused_accuracy,0.7632398753894081,0.0,0.7632398753894081
rsg_complete,oracle_accuracy,0.7842679127725857,0.0,0.7842679127725857
rsg_complete,expert_prediction_disagreement_rate,0.059190031152647975,0.0,0.059190031152647975
rsg_complete,one_right_one_wrong_rate,0.050623052959501556,0.0,0.050623052959501556
rsg_complete,one_right_gate_selection_accuracy,0.6,0.0,0.6
rsg_complete,mean_routing_regret_nll,0.08257281697819314,0.0,0.08257281697819314
rsg_complete,complementarity_recovery,-0.08000000000000297,0.0,-0.08000000000000297
rsg_hard_target,accuracy,0.7616822429906542,0.0,0.7616822429906542
rsg_hard_target,macro_f1,0.7409954083210528,0.0,0.7409954083210528
rsg_hard_target,target_recall,0.6812749003984063,0.0,0.6812749003984063
rsg_hard_target,target_miss_rate,0.3187250996015937,0.0,0.3187250996015937
rsg_hard_target,ti_to_target_intrusion_rate,0.07739307535641547,0.0,0.07739307535641547
rsg_hard_target,metallic_to_target_intrusion_rate,0.11931818181818182,0.0,0.11931818181818182
rsg_hard_target,direct_accuracy,0.7577881619937694,0.0,0.7577881619937694
rsg_hard_target,mapped_accuracy,0.7655763239875389,0.0,0.7655763239875389
rsg_hard_target,fused_accuracy,0.7616822429906542,0.0,0.7616822429906542
rsg_hard_target,oracle_accuracy,0.7881619937694704,0.0,0.7881619937694704
rsg_hard_target,expert_prediction_disagreement_rate,0.06230529595015576,0.0,0.06230529595015576
rsg_hard_target,one_right_one_wrong_rate,0.0529595015576324,0.0,0.0529595015576324
rsg_hard_target,one_right_gate_selection_accuracy,0.4852941176470588,0.0,0.4852941176470588
rsg_hard_target,mean_routing_regret_nll,0.10711827258566978,0.0,0.10711827258566978
rsg_hard_target,complementarity_recovery,-0.17241379310344726,0.0,-0.17241379310344726
rsg_unweighted,accuracy,0.7609034267912772,0.0,0.7609034267912772
rsg_unweighted,macro_f1,0.7420137628025785,0.0,0.7420137628025785
rsg_unweighted,target_recall,0.7171314741035857,0.0,0.7171314741035857
rsg_unweighted,target_miss_rate,0.2828685258964143,0.0,0.2828685258964143
rsg_unweighted,ti_to_target_intrusion_rate,0.0814663951120163,0.0,0.0814663951120163
rsg_unweighted,metallic_to_target_intrusion_rate,0.11931818181818182,0.0,0.11931818181818182
rsg_unweighted,direct_accuracy,0.7484423676012462,0.0,0.7484423676012462
rsg_unweighted,mapped_accuracy,0.764797507788162,0.0,0.764797507788162
