actual/predicted,target_mineral,ti_bearing_negative,gangue_negative,metallic_hard_negative
target_mineral,191,37,12,11
ti_bearing_negative,56,372,44,19
gangue_negative,16,32,302,16
metallic_hard_negative,25,29,15,107
