reference,comparison,metric,reference_mean,comparison_mean,difference,favorable_direction,oriented_improvement
rsg_complete,cgdc_complete,accuracy,0.7645379023883697,0.7525960539979232,-0.011941848390446541,1,-0.011941848390446541
rsg_complete,cgdc_complete,macro_f1,0.747550888495354,0.7324998413678889,-0.015051047127465078,1,-0.015051047127465078
rsg_complete,cgdc_complete,target_recall,0.7290836653386454,0.7290836653386454,0.0,1,0.0
rsg_complete,cgdc_complete,target_miss_rate,0.27091633466135456,0.27091633466135456,0.0,-1,-0.0
rsg_complete,cgdc_complete,ti_to_target_intrusion_rate,0.08418194161575017,0.10319076714188731,0.01900882552613714,-1,-0.01900882552613714
rsg_complete,cgdc_complete,metallic_to_target_intrusion_rate,0.11174242424242424,0.13257575757575757,0.02083333333333333,-1,-0.02083333333333333
rsg_complete,cgdc_complete,direct_accuracy,0.7596053997923157,0.7440290758047767,-0.015576323987538943,0,-0.0
rsg_complete,cgdc_complete,mapped_accuracy,0.7663551401869159,0.7518172377985461,-0.014537902388369717,0,-0.0
rsg_complete,cgdc_complete,fused_accuracy,0.7645379023883697,0.7525960539979232,-0.011941848390446541,1,-0.011941848390446541
rsg_complete,cgdc_complete,oracle_accuracy,0.7871235721703012,0.7715472481827622,-0.015576323987538943,0,-0.0
rsg_complete,cgdc_complete,expert_prediction_disagreement_rate,0.056074766355140186,0.061266874350986496,0.0051921079958463096,0,0.0
rsg_complete,cgdc_complete,one_right_one_wrong_rate,0.048286604361370715,0.047248182762201454,-0.0010384215991692605,0,-0.0
rsg_complete,cgdc_complete,one_right_gate_selection_accuracy,0.5801457194899817,0.5350554917719097,-0.04509022771807203,1,-0.04509022771807203
rsg_complete,cgdc_complete,mean_routing_regret_nll,0.08087104776739357,0.08016254413291796,-0.0007085036344756102,-1,0.0007085036344756102
rsg_complete,cgdc_complete,complementarity_recovery,-0.08619047619047676,0.032070707070709616,0.11826118326118637,1,0.11826118326118637
rsg_complete,cgdc_complete,brier_score,0.370170454270061,0.37837182547336035,0.008201371203299335,-1,-0.008201371203299335
rsg_complete,cgdc_complete,expected_calibration_error,0.12900819444444442,0.12871484449636553,-0.0002933499480788915,-1,0.0002933499480788915
rsg_complete,cgdc_shared_features,accuracy,0.7645379023883697,0.7502596053997923,-0.01427829698857741,1,-0.01427829698857741
rsg_complete,cgdc_shared_features,macro_f1,0.747550888495354,0.7300963269856449,-0.017454561509709143,1,-0.017454561509709143
rsg_complete,cgdc_shared_features,target_recall,0.7290836653386454,0.7051792828685259,-0.0239043824701195,1,-0.0239043824701195
rsg_complete,cgdc_shared_features,target_miss_rate,0.27091633466135456,0.29482071713147406,0.0239043824701195,-1,-0.0239043824701195
rsg_complete,cgdc_shared_features,ti_to_target_intrusion_rate,0.08418194161575017,0.09300746775288526,0.008825526137135095,-1,-0.008825526137135095
