epoch,train_loss,train_final_role_loss,train_direct_role_loss,train_species_loss,train_consistency_loss,train_ti_verifier_loss,train_metallic_verifier_loss,train_verifier_loss,train_contrast_loss,train_gate_regret_loss,train_decomposition_loss,train_calibration_loss,train_phr_ti_gate_loss,train_phr_metallic_gate_loss,train_phr_pairwise_regret_loss,train_mean_gate,train_mean_expert_js_divergence,train_gate_selection_accuracy,train_one_right_gate_selection_accuracy,train_mean_routing_regret_nll,train_mean_weighted_gate_error,train_phr_ti_eligible_count,train_phr_ti_gate_selection_accuracy,train_phr_ti_mean_margin_regret,train_phr_ti_mean_weighted_gate_error,train_phr_ti_sign_agreement_count,train_phr_ti_sign_preservation_rate,train_phr_metallic_eligible_count,train_phr_metallic_gate_selection_accuracy,train_phr_metallic_mean_margin_regret,train_phr_metallic_mean_weighted_gate_error,train_phr_metallic_sign_agreement_count,train_phr_metallic_sign_preservation_rate,val_loss,val_final_role_loss,val_direct_role_loss,val_species_loss,val_consistency_loss,val_ti_verifier_loss,val_metallic_verifier_loss,val_verifier_loss,val_contrast_loss,val_gate_regret_loss,val_decomposition_loss,val_calibration_loss,val_phr_ti_gate_loss,val_phr_metallic_gate_loss,val_phr_pairwise_regret_loss,val_mean_gate,val_mean_expert_js_divergence,val_gate_selection_accuracy,val_one_right_gate_selection_accuracy,val_mean_routing_regret_nll,val_mean_weighted_gate_error,val_phr_ti_eligible_count,val_phr_ti_gate_selection_accuracy,val_phr_ti_mean_margin_regret,val_phr_ti_mean_weighted_gate_error,val_phr_ti_sign_agreement_count,val_phr_ti_sign_preservation_rate,val_phr_metallic_eligible_count,val_phr_metallic_gate_selection_accuracy,val_phr_metallic_mean_margin_regret,val_phr_metallic_mean_weighted_gate_error,val_phr_metallic_sign_agreement_count,val_phr_metallic_sign_preservation_rate,accuracy,macro_precision,macro_recall,macro_f1,target_recall,target_miss_rate,ti_to_target_intrusion_rate,metallic_to_target_intrusion_rate,learning_rate
1,3.432990117091329,1.16141766195553,1.161659877419015,2.59330251527472,0.08606738423022274,0.5689993527543042,0.6447950840224708,1.2137944374047933,0.6900226400551382,0.9336293071394223,0.0,1.164928692967499,0.0,0.0,0.0,0.7438922504255713,0.02024276332075405,0.5953065134099617,0.6031746031746031,0.12844689286508423,0.034413255262706215,2416,0.5670529801324503,0.24910188838829894,0.24910188833541197,1709,1.0,1388,0.6231988472622478,0.20639064767993773,0.20639064707106508,770,1.0,2.5432025406422034,0.9403466122414738,0.9644295962366786,2.213762800210267,0.09370413139746143,0.27599881998235143,0.21499464626675358,0.4909934657151328,0.0,1.289512379038641,0.0,0.9602920788800196,0.0,0.0,0.0,0.8801483500577835,0.020892341329464804,0.6427771556550952,0.49264705882352944,0.12773849982830873,0.02918403452299485,516,0.6007751937984496,0.23871146250054126,0.23871146293377093,443,1.0,296,0.706081081081081,0.13206102071342538,0.13206101985014282,240,1.0,0.6103023516237402,0.5916143521305723,0.6106358413382165,0.5913968484824874,0.6589595375722543,0.34104046242774566,0.1661807580174927,0.17886178861788618,0.0001
2,2.6432599025667853,0.861872460193561,0.8696597663835547,2.080331881384283,0.07351016799894329,0.42698270242332953,0.49065975488031505,0.9176424596729863,0.5763431434230558,1.5911491145576098,0.0,0.8694742239754776,0.0,0.0,0.0,0.9315491599384053,0.016788515460913592,0.6288314176245211,0.568760611205433,0.1087711286316028,0.027343787211991443,2416,0.5604304635761589,0.23956575362044172,0.23956575394795862,2112,1.0,1388,0.7053314121037464,0.15875556524333032,0.158755564708056,1155,1.0,2.271595883075761,0.8604567483451305,0.8656181044968352,1.9575298363791334,0.06109826800737776,0.24336121857900503,0.17635844829768643,0.41971966714367753,0.0,1.6780363800544353,0.0,0.8624887808172861,0.0,0.0,0.0,0.918731592403681,0.01428732618832351,0.5957446808510638,0.5,0.10550404827030686,0.02813085993486022,516,0.5406976744186046,0.2540369133948702,0.25403691320814886,463,1.0,296,0.652027027027027,0.20271521912670593,0.20271522016367738,253,1.0,0.64501679731243,0.6194102118282446,0.635273316161829,0.6183725570954419,0.7167630057803468,0.2832369942196532,0.1661807580174927,0.23577235772357724,0.0001
3,2.2484831010701556,0.734833196547753,0.7415256383775295,1.7777400802378454,0.05626246137580196,0.38611646537522704,0.3753327852636005,0.761449252794072,0.5304757742375363,1.8517564553410615,0.0,0.7403776671922984,0.0,0.0,0.0,0.9513628821805747,0.013049731463728802,0.5912356321839081,0.5121951219512195,0.0904401568147697,0.0271532971948927,2416,0.5153145695364238,0.2639115662472045,0.2639115668368129,2205,1.0,1388,0.7017291066282421,0.1589096424482516,0.15890964086653547,1231,1.0,2.227628503908369,0.8631874846183973,0.8666282621236291,1.8703337409862077,0.05763975139561319,0.24072094493590437,0.17298525525100555,0.41370619965293776,0.0,1.8835292044038334,0.0,0.8626406716072279,0.0,0.0,0.0,0.910851398614326,0.013613142293580115,0.5274356103023516,0.47191011235955055,0.11728713343226041,0.03413377980612561,516,0.45930232558139533,0.3475639865509877,0.3475639872007335,461,1.0,296,0.6317567567567568,0.22215734126449033,0.22215733736653123,269,1.0,0.6483762597984323,0.6240299722218596,0.6452765657818813,0.6268401363774949,0.630057803468208,0.36994219653179194,0.13994169096209913,0.17886178861788618,0.0001
4,1.9194944637945328,0.6171364982351946,0.628021159334201,1.5494916669710386,0.05094930311928992,0.3349808315493138,0.3064807883126597,0.6414616207281748,0.44781103667310684,1.7572590617384491,0.0,0.6264940431177388,0.0,0.0,0.0,0.9256480768879597,0.011957654215995605,0.5766283524904214,0.5487465181058496,0.08141359528331453,0.027924737824882823,2416,0.48923841059602646,0.3016407326278616,0.30164073466814617,2231,1.0,1388,0.7046109510086456,0.18000241982420473,0.18000241992015542,1268,1.0,2.069374654220974,0.798584034434892,0.7945548549611517,1.7442334632724024,0.046493067269496126,0.22927581716625048,0.1614958767394336,0.3907716957745867,0.0,1.6091961753862303,0.0,0.7896783286486602,0.0,0.0,0.0,0.8926180471298009,0.011154082653694362,0.5643896976483762,0.64,0.09077389204144855,0.02592969395703751,516,0.4883720930232558,0.2866632883823224,0.2866632890666995,470,1.0,296,0.6317567567567568,0.2370568681004885,0.23705686768858572,269,1.0,0.7032474804031354,0.6749848769761809,0.6918051903674978,0.6794581263436738,0.6820809248554913,0.3179190751445087,0.08454810495626822,0.18699186991869918,0.0001
5,1.6403074972474256,0.5151863100428234,0.522818551152602,1.369155205072571,0.045305961914274884,0.27578098263762807,0.2586753641030398,0.534456348653269,0.38080175273776967,1.7843257727750874,0.0,0.5217359522179169,0.0,0.0,0.0,0.9025338488234871,0.010652951982526868,0.5761494252873564,0.49056603773584906,0.07102106851156371,0.02703349171159048,2416,0.5012417218543046,0.29895390960261065,0.2989539116838941,2271,1.0,1388,0.6678674351585014,0.19981067413692322,0.19981067186604282,1302,1.0,2.040938990914408,0.7971261199084001,0.7937423981317347,1.672728771592041,0.04675371661231606,0.225154703635251,0.183520344310218,0.4086750491469064,0.0,1.730079935486079,0.0,0.7820585580315328,0.0,0.0,0.0,0.8534158429199744,0.011249840950061157,0.5251959686450168,0.453125,0.10451462485872547,0.03140715731098503,516,0.4748062015503876,0.3593630985927212,0.35936309594404353,476,1.0,296,0.6182432432432432,0.23658224592941837,0.23658224649003584,277,1.0,0.7088465845464725,0.6757228020902731,0.6914842074729121,0.6808056838233261,0.6416184971098265,0.35838150289017345,0.10495626822157435,0.18699186991869918,0.0001
6,1.4199710481468288,0.4404843333123744,0.4505049573735716,1.2219969166649713,0.04519752763440098,0.26007793595393497,0.18724866577654264,0.4473266040627984,0.2767896187416781,1.6757838061486168,0.0,0.4470354821033405,0.0,0.0,0.0,0.8273108641374357,0.010598205518433339,0.5816570881226054,0.48698884758364314,0.06664685524986547,0.02682888322873571,2416,0.4995860927152318,0.33652936984763315,0.3365293673029014,2280,1.0,1388,0.6959654178674352,0.19002490359229662,0.19002490376078116,1338,1.0,2.1064687399954973,0.8515559470933869,0.8404151512286965,1.6788982589461101,0.04492261641203089,0.23600724776674892,0.16572798593313937,0.40173522942811085,0.0,1.7406892162421248,0.0,0.8306108160488817,0.0,0.0,0.0,0.7399664804452044,0.010682941002761017,0.5251959686450168,0.390625,0.11243103729208792,0.029824539428687933,516,0.4903100775193798,0.3634291599150892,0.3634291620763482,475,1.0,296,0.6452702702702703,0.2609017898668409,0.2609017862062354,273,1.0,0.6875699888017918,0.664130880653372,0.6886568858592697,0.6693724537576405,0.6820809248554913,0.3179190751445087,0.14285714285714285,0.17073170731707318,0.0001
7,1.2237944454525622,0.37084192148912914,0.38050335009093483,1.0824145434916705,0.04081253987162506,0.22633859574423668,0.14672574332881347,0.3730643394606552,0.260059957557993,1.753201106270611,0.0,0.3762444498666858,0.0,0.0,0.0,0.760794411431659,0.009603468091452684,0.5811781609195402,0.5534351145038168,0.058192392931974694,0.024518709602264724,2416,0.5057947019867549,0.33844434647221083,0.33844435023269037,2290,1.0,1388,0.6880403458213257,0.23185036492719172,0.23185036484500654,1323,1.0,2.1196966563734203,0.8473880226908446,0.8221678321332173,1.7025954928937443,0.04845089173363678,0.2293018791803721,0.19194574772577402,0.42124762837456964,0.0,1.4660085064566548,0.0,0.8128328307345092,0.0,0.0,0.0,0.6302674465550971,0.011623051993111196,0.5386338185890257,0.5245901639344263,0.09669726193231812,0.027588034975545475,516,0.501937984496124,0.35894661106515763,0.3589466167787338,479,1.0,296,0.6351351351351351,0.2763258401002433,0.27632584410077865,273,1.0,0.6909294512877939,0.6607512544792796,0.6668559083244153,0.6611000311280617,0.5664739884393064,0.4335260115606936,0.09037900874635568,0.13821138211382114,0.0001
8,1.1204292397389466,0.3364020731028926,0.3475636833871918,0.9955227282540552,0.03732033860709133,0.19627262691171463,0.14906800703379286,0.3453406344000179,0.22972536509654973,1.5639358299902115,0.0,0.34100274112204026,0.0,0.0,0.0,0.643202186760105,0.008890367310391552,0.5754310344827587,0.5242718446601942,0.0542341941221232,0.02374384559056083,2416,0.5240066225165563,0.3437550985508765,0.34375510005693866,2315,1.0,1388,0.6664265129682997,0.23669335451138124,0.23669335431803915,1345,1.0,2.095294910208776,0.8479735800560485,0.8593268211584743,1.6399543517647772,0.048996383188686606,0.2348926744162035,0.18033295088892956,0.41522562223479303,0.0,1.683466050018789,0.0,0.8353642082427944,0.0,0.0,0.0,0.5951849226605185,0.01188234021180683,0.5319148936170213,0.5185185185185185,0.11635415953906904,0.03027059451462035,516,0.5387596899224806,0.3713595447556455,0.37135954251185793,481,1.0,296,0.6081081081081081,0.3374923213158508,0.3374923247723362,283,1.0,0.7088465845464725,0.6886636076219318,0.7147266465917428,0.6930876462902569,0.7283236994219653,0.2716763005780347,0.15451895043731778,0.16260162601626016,0.0001
9,0.9516483803361768,0.2767800917113878,0.2905201209544907,0.8880109284001748,0.033546053485095616,0.1604451852764977,0.11279740880093612,0.2732425952808382,0.1825689021261566,1.4911200856340343,0.0,0.2814621519854014,0.0,0.0,0.0,0.5558811772745573,0.008063533722700772,0.5869252873563219,0.5618556701030928,0.04789259653865173,0.022193852708746502,2416,0.5509105960264901,0.3067237813586974,0.30672378547407336,2332,1.0,1388,0.6455331412103746,0.26335629784724857,0.2633563027531269,1359,1.0,2.1205111449669882,0.8586728042210603,0.8427682331401316,1.6670922488141033,0.042496073010720704,0.22982464188424095,0.19687638677915292,0.42670103587201835,0.0,1.5247252007481231,0.0,0.8254929212279709,0.0,0.0,0.0,0.5571824382231357,0.010272664264617907,0.5643896976483762,0.696969696969697,0.09582006286195757,0.02394820928933859,516,0.5484496124031008,0.32203538786591024,0.32203538347602706,487,1.0,296,0.6047297297297297,0.39388886574227866,0.3938888663537702,274,1.0,0.7256438969764838,0.6963550938111258,0.7114950015147725,0.7020724703232789,0.6705202312138728,0.32947976878612717,0.09912536443148688,0.13008130081300814,0.0001
10,0.8570039985965495,0.24815591320509656,0.26257194313167154,0.8055468583586572,0.03340282635156679,0.14740029484804335,0.09536404649337211,0.24276434097053676,0.15709219018837714,1.5175830943374342,0.0,0.2524491676282837,0.0,0.0,0.0,0.5582760005939329,0.008065203879795226,0.5921934865900383,0.4857142857142857,0.04517780657868512,0.021677148678616972,2416,0.5674668874172185,0.3288976691828251,0.3288976696738311,2328,1.0,1388,0.6440922190201729,0.29515207256660164,0.2951520755196674,1362,1.0,2.098213644871386,0.849540364301752,0.8353468267808168,1.6426542136330087,0.04340667746468861,0.23233573487464418,0.19600184633910722,0.4283375776761857,0.0,1.2772092943362399,0.0,0.8135153966948541,0.0,0.0,0.0,0.44425535429837987,0.010639002540903506,0.5531914893617021,0.625,0.08314002285646765,0.02516622875217152,516,0.5968992248062015,0.27479982040389334,0.27479982082209875,488,1.0,296,0.5743243243243243,0.29395462260455696,0.2939546229690739,282,1.0,0.723404255319149,0.6962289288702812,0.7036179743620056,0.6985514763850232,0.6184971098265896,0.38150289017341044,0.08163265306122448,0.11382113821138211,0.0001
