actual/predicted,target_mineral,ti_bearing_negative,gangue_negative,metallic_hard_negative
target_mineral,191,37,13,10
ti_bearing_negative,51,368,52,20
gangue_negative,14,25,314,13
metallic_hard_negative,22,25,23,106
