actual/predicted,target_mineral,ti_bearing_negative,gangue_negative,metallic_hard_negative
target_mineral,176,42,13,20
ti_bearing_negative,37,378,58,18
gangue_negative,9,40,299,18
metallic_hard_negative,19,21,24,112
