protocol,seed,sample_count,minimum_true_probability,mean_routing_regret_nll,mean_b1_upper_bound,b1_max_residual,b1_violation_count,b2_max_residual,b2_violation_count
fixed,seed20260727,1284,3.110446414e-06,0.08076799069677648,189666.0325010344,-0.608913423899238,0,5.892966521028325e-08,0
fixed,seed20260728,1284,3.97250403e-07,0.08257282999508135,187527.3562333201,-0.33538580065736845,0,5.942525751546809e-08,0
fixed,seed20260729,1284,6.79545622e-07,0.07927235041148702,191432.6196331566,-5.9604872e-08,0,4.3523696925456626e-08,0
photographer_holdout,seed20260727,846,7.29783267e-07,0.08846658817980789,197935.74098787652,-0.4898417166302036,0,3.9537171234323674e-08,0
photographer_holdout,seed20260729,846,3.1047326047e-05,0.07342098125776245,195788.42043737863,-26.49891884519952,0,-8.691554615809132e-09,0
photographer_holdout,seed20260730,846,1.1324758816e-05,0.08540327474496025,214709.519282649,-1.3093203300100562,0,3.4954070179062896e-08,0
resnet50_portability,seed20260727,1284,1.136078595e-06,0.08345162158758188,169516.4645874194,0.0,0,2.975861479200124e-08,0
resnet50_portability,seed20260728,1284,1.1920929e-07,0.08143816359976135,169610.82613700375,0.0,0,5.672486154826759e-08,0
resnet50_portability,seed20260729,1284,1.31072056e-07,0.09034299170669492,190288.22504211392,0.0,0,5.235466330032537e-08,0
