seed,metric,baseline,comparison,difference
20260727,accuracy,0.7250778816199377,0.764797507788162,0.03971962616822433
20260727,macro_f1,0.7070836015488924,0.745739061805044,0.03865546025615163
20260727,target_recall,0.8007968127490039,0.7051792828685259,-0.095617529880478
20260727,target_miss_rate,0.19920318725099606,0.29482071713147406,0.095617529880478
20260727,ti_to_target_intrusion,0.1446028513238289,0.08961303462321792,-0.054989816700611
20260727,metallic_to_target_intrusion,0.17613636363636365,0.11931818181818182,-0.05681818181818182
20260728,accuracy,0.7749221183800623,0.7671339563862928,-0.007788161993769527
20260728,macro_f1,0.7529740878027406,0.7493888243636889,-0.0035852634390516336
20260728,target_recall,0.7649402390438247,0.7051792828685259,-0.05976095617529875
20260728,target_miss_rate,0.2350597609561753,0.29482071713147406,0.05976095617529875
20260728,ti_to_target_intrusion,0.07739307535641547,0.0814663951120163,0.004073319755600824
20260728,metallic_to_target_intrusion,0.11931818181818182,0.10227272727272728,-0.017045454545454544
20260729,accuracy,0.7624610591900312,0.7624610591900312,0.0
20260729,macro_f1,0.7422840235931725,0.7425364782247215,0.00025245463154899284
20260729,target_recall,0.7609561752988048,0.7609561752988048,0.0
20260729,target_miss_rate,0.23904382470119523,0.23904382470119523,0.0
20260729,ti_to_target_intrusion,0.10590631364562118,0.10386965376782077,-0.002036659877800412
20260729,metallic_to_target_intrusion,0.13636363636363635,0.125,-0.011363636363636354
