bootstrap_index,accuracy,macro_f1,target_recall,target_miss_rate,ti_to_target_intrusion,metallic_to_target_intrusion
0,0.015316718587746636,0.01823043740890784,-0.059760956175298786,0.059760956175298786,-0.01697216564833673,-0.032196969696969696
1,0.022585669781931477,0.02528594378905798,-0.08100929614873838,0.08100929614873838,-0.0264765784114053,-0.047348484848484855
2,-0.005711318795430927,-0.007251054333890838,-0.03452855245683928,0.03452855245683928,-0.0033944331296673486,-0.009469696969696966
3,0.009345794392523366,0.0161383083322784,-0.08499335989375827,0.08499335989375827,-0.01697216564833673,-0.056818181818181816
4,0.012201453790238848,0.015660405582574644,-0.055776892430278835,0.055776892430278835,-0.02240325865580448,-0.02462121212121211
5,-0.0036344755970924014,-0.002625229775346775,-0.01859229747675961,0.01859229747675961,-0.006109979633401226,0.009469696969696966
6,0.009605399792315636,0.009177274252588963,-0.05710491367861884,0.05710491367861884,-0.021724372029871004,-0.03977272727272727
7,0.02725856697819314,0.03323513537527848,-0.025232403718459473,0.025232403718459473,-0.02783435166327224,-0.05492424242424243
8,0.04413291796469365,0.04269864624736249,-0.09030544488711818,0.09030544488711818,-0.04887983706720978,-0.04734848484848484
9,-0.0020768431983385627,0.00035178182952625797,-0.009296148738379842,0.009296148738379842,-0.002715546503733878,0.009469696969696961
10,0.00856697819314641,0.008779382829771162,-0.07304116865869852,0.07304116865869852,-0.013577732518669386,-0.01704545454545454
11,0.009865005192108015,0.00805400479887878,-0.0690571049136786,0.0690571049136786,-0.021724372029871014,-0.028409090909090908
12,-0.009605399792315708,-0.009903753925707711,-0.0849933598937583,0.0849933598937583,-0.010862186014935498,-0.0284090909090909
13,0.004932502596054007,0.008755843838221996,-0.09030544488711822,0.09030544488711822,-0.014935505770536326,-0.03787878787878788
14,0.016874350986500513,0.018658355258214947,-0.029216467463479428,0.029216467463479428,-0.01900882552613713,-0.04166666666666667
15,0.007528556593977147,0.006801396761815274,-0.07968127490039838,0.07968127490039838,-0.006788866259334688,-0.02272727272727272
16,0.021028037383177562,0.02837729032084398,-0.08499335989375827,0.08499335989375827,-0.028513238289205708,-0.04924242424242424
17,0.022326064382139094,0.02240379047853558,-0.03320053120849934,0.03320053120849934,-0.029192124915139173,-0.02272727272727273
18,-0.007528556593977147,-0.004494251168385828,-0.007968127490039834,0.007968127490039834,0.016972165648336732,0.005681818181818181
19,0.015057113187954293,0.015706905832062985,-0.013280212483399759,0.013280212483399759,-0.016972165648336725,-0.011363636363636362
20,-0.002336448598130869,0.006830430038929654,-0.059760956175298786,0.059760956175298786,0.006788866259334688,-0.04545454545454545
21,0.017653167185877505,0.018118622801718127,-0.043824701195219085,0.043824701195219085,-0.022403258655804486,-0.06818181818181818
22,0.009605399792315672,0.010274124286297148,-0.03585657370517925,0.03585657370517925,-0.012219959266802439,-0.03219696969696969
23,0.025700934579439266,0.027758084764160307,-0.035856573705179286,0.035856573705179286,-0.02919212491513917,-0.01893939393939394
24,0.02024922118380057,0.02054772576621196,-0.0849933598937583,0.0849933598937583,-0.029871011541072634,-0.02651515151515151
25,-0.007009345794392496,-0.005406528834836832,-0.027888446215139417,0.027888446215139417,-0.002036659877800403,-0.020833333333333332
26,0.009865005192107978,0.007546322676928008,-0.05046480743691898,0.05046480743691898,-0.016972165648336725,-0.01704545454545454
27,0.024922118380062308,0.023488841474733402,0.0026560424966799445,-0.0026560424966799445,-0.021724372029871014,-0.020833333333333325
28,0.017653167185877432,0.01996971342092165,-0.030544488711819362,0.030544488711819362,-0.020366598778004074,-0.03787878787878788
29,-0.010643821391484934,-0.00845178628655785,-0.011952191235059787,0.011952191235059787,-0.003394433129667344,0.009469696969696961
30,-0.011422637590861892,-0.009255333791630646,-0.07171314741035854,0.07171314741035854,0.012219959266802439,-0.013257575757575765
31,0.02076843198338522,0.02305703952773967,-0.057104913678618884,0.057104913678618884,-0.013577732518669386,-0.03787878787878788
32,-0.009605399792315708,-0.007370897832063535,-0.06640106241699868,0.06640106241699868,0.003394433129667344,-0.02272727272727273
33,0.02180685358255452,0.02436015551369756,-0.03452855245683931,0.03452855245683931,-0.021724372029871014,-0.03030303030303029
34,0.004932502596054007,0.0008737155090465057,0.026560424966799483,-0.026560424966799483,-0.004073319755600814,-0.005681818181818186
35,0.03089304257528554,0.029764969365822586,-0.06640106241699865,0.06640106241699865,-0.046164290563475895,-0.01893939393939395
36,0.009086188992731059,0.011053561468164793,-0.05710491367861884,0.05710491367861884,-0.005431093007467747,-0.01893939393939394
37,-0.005711318795430964,-0.004915983728461026,-0.03585657370517925,0.03585657370517925,-0.0006788866259334706,-0.02651515151515151
38,-0.0038940809968847447,-0.000438993425710484,-0.04249667994687911,0.04249667994687911,-0.0061099796334012245,-0.02272727272727273
39,0.012720664589823497,0.013336344086672466,-0.05179282868525895,0.05179282868525895,-0.02647657841140529,-0.018939393939393933
40,0.00726895119418484,0.005166116179974016,-0.05179282868525892,0.05179282868525892,-0.02511880515953836,-0.041666666666666664
41,0.017393561786085126,0.02073565263250173,-0.02523240371845951,0.02523240371845951,-0.02647657841140529,-0.017045454545454548
42,-0.0020768431983385627,0.0009104342221136023,-0.09163346613545816,0.09163346613545816,-0.007467752885268163,-0.02272727272727272
43,-0.007528556593977147,-0.005390739274197791,-0.04913678618857901,0.04913678618857901,0.018329938900203662,-0.015151515151515147
44,0.0059709241952232706,0.008136222120221618,-0.0239043824701195,0.0239043824701195,-0.014935505770536322,-0.02651515151515151
45,0.012201453790238811,0.016047487546455092,-0.050464807436918946,0.050464807436918946,-0.025118805159538352,-0.024621212121212117
46,0.017653167185877467,0.018141616332796245,-0.06374501992031871,0.06374501992031871,-0.01900882552613714,-0.024621212121212124
47,0.00674974039460019,0.007059052793905322,-0.030544488711819362,0.030544488711819362,-0.022403258655804486,-0.04734848484848485
48,0.015576323987538943,0.01741055462846075,-0.0783532536520584,0.0783532536520584,-0.034623217922606926,-0.05113636363636364
49,0.022845275181723745,0.023287926450364666,-0.06640106241699865,0.06640106241699865,-0.028513238289205708,-0.020833333333333343
50,0.012461059190031118,0.012743603524257074,-0.047808764940239,0.047808764940239,-0.017651052274270194,-0.04545454545454544
51,0.010384215991692591,0.010646998856486936,-0.03718459495351922,0.03718459495351922,-0.023761031907671423,-0.03219696969696969
52,-0.0036344755970924383,-0.001354726812673383,-0.0783532536520584,0.0783532536520584,-0.021045485403937546,-0.024621212121212117
53,0.0015576323987539127,0.0008173702442257532,-0.05843293492695878,0.05843293492695878,-0.011541072640868974,-0.01704545454545454
54,0.011682242990654198,0.011518947484506659,-0.015936254980079667,0.015936254980079667,-0.017651052274270194,-0.02272727272727273
55,0.014797507788162023,0.013874239231814375,-0.0610889774236388,0.0610889774236388,-0.02240325865580448,-0.0303030303030303
56,0.01090342679127724,0.014530464619843975,-0.030544488711819362,0.030544488711819362,-0.009504412763068565,-0.0321969696969697
57,0.039719626168224255,0.03977375712920953,-0.031872509960159334,0.031872509960159334,-0.03665987780040733,-0.043560606060606064
58,-0.00726895119418484,-0.006427202248049639,-0.02257636122177953,0.02257636122177953,-0.004073319755600814,-0.01325757575757576
59,0.02985462097611628,0.023699591469010167,-0.12217795484727756,0.12217795484727756,-0.06109979633401222,-0.05681818181818182
60,0.013499480789200416,0.0095975930062967,-0.07702523240371846,0.07702523240371846,-0.03598099117447386,-0.04166666666666668
