metric,label,favorable_direction,baseline_mean,comparison_mean,difference,oriented_improvement,ci_low,ci_high,probability_favorable,bootstrap_replicates
accuracy,Accuracy,1,0.754153686396677,0.764797507788162,0.010643821391485009,0.010643821391485009,-0.012980269989615767,0.03920041536863964,0.7683,10000
macro_f1,Macro F1,1,0.7341139043149352,0.7458881214644848,0.011774217149549626,0.011774217149549626,-0.011244380254280617,0.0393299325953356,0.8098,10000
target_recall,Target recall,1,0.7755644090305445,0.7237715803452855,-0.05179282868525892,-0.05179282868525892,-0.10225763612217793,0.0026560424966799445,0.0304,10000
target_miss_rate,Target miss rate,-1,0.22443559096945553,0.27622841965471445,0.05179282868525892,-0.05179282868525892,-0.0026560424966799445,0.10225763612217793,0.0304,10000
ti_to_target_intrusion,Ti-bearing intrusion,-1,0.10930074677528852,0.09164969450101833,-0.01765105227427019,0.01765105227427019,-0.05363204344874406,0.011541072640868977,0.8288,10000
metallic_to_target_intrusion,Metallic intrusion,-1,0.14393939393939395,0.11553030303030304,-0.02840909090909091,0.02840909090909091,-0.06444128787878785,0.005681818181818177,0.9475,10000
