actual/predicted,target_mineral,ti_bearing_negative,gangue_negative,metallic_hard_negative
target_mineral,174,40,16,20
ti_bearing_negative,49,377,49,15
gangue_negative,21,29,305,12
metallic_hard_negative,22,23,12,120
