epoch,train_loss,train_four_class_loss,train_binary_loss,train_contrast_loss,val_loss,val_four_class_loss,val_binary_loss,val_contrast_loss,accuracy,macro_precision,macro_recall,macro_f1,learning_rate
1,1.28420457448401,1.079234672710612,0.5425813729941815,0.6932455818588312,0.9768119855461833,0.8676231217532886,0.4367554488583146,0.0,0.6612149532710281,0.6414389760464332,0.6659027386505334,0.6477399698572813,0.0001
2,0.9982160435309247,0.8339859675669146,0.4267205120662858,0.5754994751522754,0.915464150942746,0.8010626219886114,0.4576061294179096,0.0,0.6728971962616822,0.6595665757188062,0.6793141259274689,0.6590907686951052,0.0001
3,0.8364238057274923,0.6962344827537588,0.35913589260278583,0.5040535029049509,0.8801555620547025,0.7774119987108997,0.41097426242731816,0.0,0.6915887850467289,0.6737056519335738,0.6973863391382508,0.6753858542930464,0.0001
4,0.7186188011476606,0.600118292125954,0.3137844801899011,0.40054390045385035,0.8556250070114373,0.7642668353805661,0.3654326897033278,0.0,0.7071651090342679,0.6831179577156141,0.7094737719962135,0.6901295612591416,0.0001
5,0.6045819922489241,0.5020156531171138,0.26793555474895253,0.3558245076529333,0.8959955299197699,0.792533703496523,0.41384731714738493,0.0,0.7024922118380063,0.6881423291578022,0.709301663749599,0.691379166911444,0.0001
6,0.5079440999463029,0.4242971866817967,0.21893193899355284,0.289139299528638,0.8710447364135695,0.7799303017301351,0.3644577461524034,0.0,0.7266355140186916,0.7040633858688928,0.717461585345356,0.7095507959496884,0.0001
7,0.4521954923323228,0.3803506966875896,0.19681197530225186,0.22641801206932324,0.8637590940310577,0.7663106838490733,0.3897936318702183,0.0,0.7390965732087228,0.7194954767121604,0.7359105649371928,0.725495466538212,0.0001
8,0.39194170128497235,0.32732681616843295,0.17567493820666386,0.20696150623274429,0.9391961029014112,0.8364855894047152,0.4108420532092313,0.0,0.7149532710280374,0.6992086886886544,0.7131016088326985,0.7024200087204512,0.0001
9,0.3401155924286104,0.2878266134904127,0.1450209773850709,0.16033734269568287,0.9707231468686434,0.860152023835717,0.4422844965242987,0.0,0.7157320872274143,0.6964011871045674,0.7143686400621302,0.7023496995597089,0.0001
10,0.30562184645293283,0.256338540605252,0.1377854751373943,0.14836938256310978,0.9712456244731618,0.8682532988233358,0.4119692945278415,0.0,0.7289719626168224,0.7031751241786103,0.7158026525993947,0.7083984862600596,0.0001
11,0.2736895170548362,0.23244535065831165,0.11940634365130583,0.11392581139092321,0.9896182430867465,0.8806124385272232,0.43602320400133404,0.0,0.7414330218068536,0.7229879268240397,0.7204560377330631,0.7206166037046864,5e-05
12,0.21481515239687338,0.18094367216825685,0.09997449497364348,0.08877856456493402,1.0305541374044627,0.9147152572034676,0.46335551672763076,0.0,0.7242990654205608,0.702223046846122,0.7220568854891516,0.7089101280551853,5e-05
13,0.18638713103155824,0.15674541629894612,0.08706113925515216,0.07876430124571246,1.0298631090984167,0.9148931191346356,0.459879967903376,0.0,0.7281931464174455,0.7160530451472304,0.7132185585821638,0.7107767901605785,5e-05
14,0.16999171210043262,0.1437891642732561,0.07718415438786407,0.06906509183081937,1.062841145838161,0.9487632257962524,0.45631169098591856,0.0,0.7507788161993769,0.7281694088941313,0.7316814983140072,0.7293839629426215,5e-05
15,0.15747175389559273,0.13133397866137334,0.07880990311935872,0.06435298943283524,1.110134626242602,0.9893181325861969,0.48326601132799835,0.0,0.7258566978193146,0.7148023321506958,0.7109049460083299,0.7102204139954539,5e-05
16,0.15196844669441073,0.12992547262466866,0.06859283759062611,0.04894764307601661,1.113449145143277,0.9931605617948039,0.48115433214922837,0.0,0.7429906542056075,0.7225127397018747,0.7264186716204979,0.7242833711625755,5e-05
17,0.1504780597924796,0.12931711918764557,0.06276647575675967,0.05469321663998155,1.1343627287962725,1.0048830912120617,0.5179185397702493,0.0,0.719626168224299,0.7049788195068784,0.7140094662535961,0.7064523840793054,5e-05
18,0.14461785058211737,0.12336860070899666,0.06238632151157706,0.056526701635101616,1.1534374710926758,1.029503087156287,0.49573754352978733,0.0,0.7250778816199377,0.7099723162000299,0.717092632998334,0.7120452660793852,2.5e-05
19,0.12069038650549972,0.10374039931373095,0.053296386911237704,0.03625890863302366,1.1125512719618569,0.9898996922735855,0.4906062891712627,0.0,0.7375389408099688,0.7159233877498127,0.7272382705449056,0.7205047615413155,2.5e-05
20,0.11107240207687037,0.09604015636728566,0.04686135533357168,0.0331690710045241,1.1488937097267942,1.0198477645436552,0.5161837697206094,0.0,0.7414330218068536,0.7195133250387886,0.7317957257811913,0.7244737399877886,2.5e-05
21,0.09856587756756988,0.0841120024082185,0.04649019476358767,0.028313268963464217,1.163139790482239,1.0356408765197171,0.5099956575212449,0.0,0.7227414330218068,0.7017570085363449,0.7114108937160049,0.7059479260276241,2.5e-05
22,0.09506121412234565,0.08140472803409218,0.043900968028381504,0.026812445027593765,1.160477711404224,1.03378917439333,0.5067541803105667,0.0,0.7515576323987538,0.7329634143691397,0.7262111881560457,0.7291513840761383,1.25e-05
