reference,comparison,metric,baseline_mean,comparison_mean,difference,favorable_direction,oriented_improvement
residual_complete,equal_fusion,accuracy,0.764797507788162,0.7590861889927311,-0.005711318795430964,1,-0.005711318795430964
residual_complete,equal_fusion,macro_f1,0.7458881214644848,0.7401061840413554,-0.00578193742312938,1,-0.00578193742312938
residual_complete,equal_fusion,target_recall,0.7237715803452855,0.7304116865869854,0.006640106241699861,1,0.006640106241699861
residual_complete,equal_fusion,target_miss_rate,0.27622841965471445,0.2695883134130146,-0.006640106241699861,-1,0.006640106241699861
residual_complete,equal_fusion,ti_to_target_intrusion_rate,0.09164969450101833,0.09775967413441955,0.006109979633401222,-1,-0.006109979633401222
residual_complete,equal_fusion,metallic_to_target_intrusion_rate,0.11553030303030304,0.12310606060606061,0.007575757575757569,-1,-0.007575757575757569
residual_complete,equal_fusion,species_accuracy,0.5698338525441329,0.5656801661474559,-0.004153686396677014,1,-0.004153686396677014
residual_complete,equal_fusion,mean_gate,0.29366111362313696,0.5,0.20633888637686304,0,0.0
residual_complete,equal_fusion,mean_expert_js_divergence,0.009455413892963867,0.008492660745001414,-0.0009627531479624533,0,-0.0
residual_complete,no_contrast,accuracy,0.764797507788162,0.7538940809968847,-0.010903426791277315,1,-0.010903426791277315
residual_complete,no_contrast,macro_f1,0.7458881214644848,0.7351057920836801,-0.0107823293808047,1,-0.0107823293808047
residual_complete,no_contrast,target_recall,0.7237715803452855,0.7104913678618858,-0.013280212483399723,1,-0.013280212483399723
residual_complete,no_contrast,target_miss_rate,0.27622841965471445,0.2895086321381142,0.013280212483399723,-1,-0.013280212483399723
residual_complete,no_contrast,ti_to_target_intrusion_rate,0.09164969450101833,0.09775967413441955,0.006109979633401222,-1,-0.006109979633401222
residual_complete,no_contrast,metallic_to_target_intrusion_rate,0.11553030303030304,0.10984848484848485,-0.005681818181818191,-1,0.005681818181818191
residual_complete,no_contrast,species_accuracy,0.5698338525441329,0.5563343717549325,-0.01349948078920038,1,-0.01349948078920038
residual_complete,no_contrast,mean_gate,0.29366111362313696,0.2697031485828213,-0.023957965040315665,0,-0.0
residual_complete,no_contrast,mean_expert_js_divergence,0.009455413892963867,0.00950859296413379,5.3179071169922806e-05,0,0.0
residual_complete,decoupled_residual,accuracy,0.764797507788162,0.7471443406022845,-0.017653167185877505,1,-0.017653167185877505
residual_complete,decoupled_residual,macro_f1,0.7458881214644848,0.7299066696291757,-0.01598145183530908,1,-0.01598145183530908
residual_complete,decoupled_residual,target_recall,0.7237715803452855,0.750332005312085,0.026560424966799445,1,0.026560424966799445
residual_complete,decoupled_residual,target_miss_rate,0.27622841965471445,0.249667994687915,-0.026560424966799445,-1,0.026560424966799445
residual_complete,decoupled_residual,ti_to_target_intrusion_rate,0.09164969450101833,0.10047522063815344,0.008825526137135109,-1,-0.008825526137135109
residual_complete,decoupled_residual,metallic_to_target_intrusion_rate,0.11553030303030304,0.13636363636363635,0.020833333333333315,-1,-0.020833333333333315
residual_complete,decoupled_residual,species_accuracy,0.5698338525441329,0.5392004153686396,-0.030633437175493272,1,-0.030633437175493272
residual_complete,decoupled_residual,mean_gate,0.29366111362313696,0.4931685774857667,0.19950746386262974,0,0.0
residual_complete,decoupled_residual,mean_expert_js_divergence,0.009455413892963867,0.011108049425918733,0.0016526355329548655,0,0.0
residual_complete,gate_only,accuracy,0.764797507788162,0.7673935617860851,0.0025960539979230646,1,0.0025960539979230646
residual_complete,gate_only,macro_f1,0.7458881214644848,0.749138927914098,0.003250806449613175,1,0.003250806449613175
residual_complete,gate_only,target_recall,0.7237715803452855,0.7436918990703851,0.019920318725099584,1,0.019920318725099584
residual_complete,gate_only,target_miss_rate,0.27622841965471445,0.25630810092961487,-0.019920318725099584,-1,0.019920318725099584
residual_complete,gate_only,ti_to_target_intrusion_rate,0.09164969450101833,0.09775967413441955,0.006109979633401222,-1,-0.006109979633401222
residual_complete,gate_only,metallic_to_target_intrusion_rate,0.11553030303030304,0.11742424242424243,0.0018939393939393923,-1,-0.0018939393939393923
residual_complete,gate_only,species_accuracy,0.5698338525441329,0.5802180685358256,0.010384215991692702,1,0.010384215991692702
residual_complete,gate_only,mean_gate,0.29366111362313696,0.1787112466779771,-0.11494986694515985,0,-0.0
residual_complete,gate_only,mean_expert_js_divergence,0.009455413892963867,0.011167528386663917,0.0017121144937000503,0,0.0
residual_complete,complete,accuracy,0.764797507788162,0.7590861889927311,-0.005711318795430964,1,-0.005711318795430964
residual_complete,complete,macro_f1,0.7458881214644848,0.7424873878827507,-0.0034007335817340945,1,-0.0034007335817340945
residual_complete,complete,target_recall,0.7237715803452855,0.7104913678618858,-0.013280212483399723,1,-0.013280212483399723
residual_complete,complete,target_miss_rate,0.27622841965471445,0.2895086321381142,0.013280212483399723,-1,-0.013280212483399723
residual_complete,complete,ti_to_target_intrusion_rate,0.09164969450101833,0.0991174473862865,0.007467752885268172,-1,-0.007467752885268172
residual_complete,complete,metallic_to_target_intrusion_rate,0.11553030303030304,0.12121212121212122,0.005681818181818177,-1,-0.005681818181818177
residual_complete,complete,species_accuracy,0.5698338525441329,0.5630841121495327,-0.00674974039460019,1,-0.00674974039460019
residual_complete,complete,mean_gate,0.29366111362313696,0.7171643396490675,0.4235032260259305,0,0.0
residual_complete,complete,mean_expert_js_divergence,0.009455413892963867,0.011008811364446085,0.0015533974714822176,0,0.0
