configuration,metric,mean,sample_std,seed_20260727,seed_20260728,seed_20260729
residual_complete,accuracy,0.764797507788162,0.0023364485981308136,0.764797507788162,0.7671339563862928,0.7624610591900312
residual_complete,macro_f1,0.7458881214644848,0.0034286040874691275,0.745739061805044,0.7493888243636889,0.7425364782247215
residual_complete,target_recall,0.7237715803452855,0.03220280385918228,0.7051792828685259,0.7051792828685259,0.7609561752988048
residual_complete,target_miss_rate,0.27622841965471445,0.03220280385918228,0.29482071713147406,0.29482071713147406,0.23904382470119523
residual_complete,ti_to_target_intrusion_rate,0.09164969450101833,0.011339642286822854,0.08961303462321792,0.0814663951120163,0.10386965376782077
residual_complete,metallic_to_target_intrusion_rate,0.11553030303030304,0.011827647724239387,0.11931818181818182,0.10227272727272728,0.125
residual_complete,species_accuracy,0.5698338525441329,0.0035118767545349503,0.5700934579439252,0.573208722741433,0.5661993769470405
residual_complete,mean_gate,0.29366111362313696,0.03402478911519878,0.2596627167883851,0.2936083903355027,0.32771223374552316
residual_complete,mean_expert_js_divergence,0.009455413892963867,0.00022142515785039386,0.009494482839204722,0.009217054572970892,0.009654704266715986
equal_fusion,accuracy,0.7590861889927311,0.0029485505429908184,0.7624610591900312,0.7570093457943925,0.7577881619937694
equal_fusion,macro_f1,0.7401061840413554,0.0033202189263902507,0.7438885179307716,0.7376725076673372,0.7387575265259575
equal_fusion,target_recall,0.7304116865869854,0.029902603583526408,0.701195219123506,0.7609561752988048,0.7290836653386454
equal_fusion,target_miss_rate,0.2695883134130146,0.029902603583526408,0.298804780876494,0.23904382470119523,0.27091633466135456
equal_fusion,ti_to_target_intrusion_rate,0.09775967413441955,0.014686563240179187,0.09368635437881874,0.11405295315682282,0.0855397148676171
equal_fusion,metallic_to_target_intrusion_rate,0.12310606060606061,0.023655295448478785,0.09659090909090909,0.14204545454545456,0.13068181818181818
equal_fusion,species_accuracy,0.5656801661474559,0.017139855493503702,0.5825545171339563,0.5482866043613707,0.5661993769470405
equal_fusion,mean_gate,0.5,0.0,0.5,0.5,0.5
equal_fusion,mean_expert_js_divergence,0.008492660745001414,0.001516986184048384,0.01004563864667887,0.007014429811472614,0.008417913776852757
no_contrast,accuracy,0.7538940809968847,0.00856697819314639,0.7538940809968847,0.7624610591900312,0.7453271028037384
no_contrast,macro_f1,0.7351057920836801,0.005603657888911078,0.7350723730462481,0.7407260847517665,0.7295189184530256
no_contrast,target_recall,0.7104913678618858,0.026527203659280428,0.6932270916334662,0.6972111553784861,0.7410358565737052
no_contrast,target_miss_rate,0.2895086321381142,0.026527203659280428,0.3067729083665338,0.3027888446215139,0.2589641434262948
no_contrast,ti_to_target_intrusion_rate,0.09775967413441955,0.02740045630768577,0.08961303462321792,0.07535641547861507,0.12830957230142567
no_contrast,metallic_to_target_intrusion_rate,0.10984848484848485,0.021511016461364676,0.08522727272727272,0.125,0.11931818181818182
no_contrast,species_accuracy,0.5563343717549325,0.016508944024490838,0.5537383177570093,0.57398753894081,0.5412772585669782
no_contrast,mean_gate,0.2697031485828213,0.05531727320934447,0.21810446807416622,0.26289600416551384,0.32810897350878376
no_contrast,mean_expert_js_divergence,0.00950859296413379,0.0005049901502384151,0.010081692404214028,0.00912886156310108,0.009315224925086261
decoupled_residual,accuracy,0.7471443406022845,0.015602262929716252,0.7414330218068536,0.764797507788162,0.735202492211838
decoupled_residual,macro_f1,0.7299066696291757,0.021475202418116086,0.7241447541649373,0.753675053400333,0.7119002013222568
decoupled_residual,target_recall,0.750332005312085,0.04297128735023485,0.7808764940239044,0.7689243027888446,0.701195219123506
decoupled_residual,target_miss_rate,0.249667994687915,0.04297128735023485,0.21912350597609564,0.2310756972111554,0.298804780876494
decoupled_residual,ti_to_target_intrusion_rate,0.10047522063815344,0.006222098703266585,0.10183299389002037,0.10590631364562118,0.09368635437881874
decoupled_residual,metallic_to_target_intrusion_rate,0.13636363636363635,0.020486086792409035,0.1534090909090909,0.11363636363636363,0.14204545454545456
decoupled_residual,species_accuracy,0.5392004153686396,0.030257117932156734,0.5319314641744548,0.572429906542056,0.5132398753894081
decoupled_residual,mean_gate,0.4931685774857667,0.21097141134601385,0.6394456173061187,0.25132556112876997,0.5887345540224114
decoupled_residual,mean_expert_js_divergence,0.011108049425918733,0.0007081824060828734,0.010845491162705322,0.010568642573551494,0.01191001454149938
gate_only,accuracy,0.7673935617860851,0.00648494080830571,0.7725856697819314,0.7601246105919003,0.7694704049844237
gate_only,macro_f1,0.749138927914098,0.004133785781647882,0.7537624307874156,0.7478546008171703,0.745799752137708
gate_only,target_recall,0.7436918990703851,0.00829349003771367,0.7529880478087649,0.7370517928286853,0.7410358565737052
gate_only,target_miss_rate,0.25630810092961487,0.00829349003771367,0.24701195219123506,0.26294820717131473,0.2589641434262948
gate_only,ti_to_target_intrusion_rate,0.09775967413441955,0.014686563240179187,0.09368635437881874,0.11405295315682282,0.0855397148676171
gate_only,metallic_to_target_intrusion_rate,0.11742424242424243,0.008679120634386061,0.11931818181818182,0.10795454545454546,0.125
gate_only,species_accuracy,0.5802180685358256,0.003394781108676544,0.5841121495327103,0.5778816199376947,0.5786604361370716
gate_only,mean_gate,0.1787112466779771,0.06653053363889697,0.17692920657805086,0.24611489828081215,0.11308963517506834
gate_only,mean_expert_js_divergence,0.011167528386663917,0.0017665555842089318,0.012436112373175566,0.009149856606807746,0.011916616180008438
complete,accuracy,0.7590861889927311,0.008327629767572942,0.7686915887850467,0.7546728971962616,0.7538940809968847
complete,macro_f1,0.7424873878827507,0.010238389918172964,0.753507473520451,0.7406844885086381,0.7332702016191631
complete,target_recall,0.7104913678618858,0.017965138457461713,0.7091633466135459,0.7290836653386454,0.6932270916334662
complete,target_miss_rate,0.2895086321381142,0.017965138457461713,0.29083665338645415,0.27091633466135456,0.3067729083665338
complete,ti_to_target_intrusion_rate,0.0991174473862865,0.010451326760584287,0.08757637474541752,0.1079429735234216,0.10183299389002037
complete,metallic_to_target_intrusion_rate,0.12121212121212122,0.00867912063438606,0.11363636363636363,0.11931818181818182,0.13068181818181818
complete,species_accuracy,0.5630841121495327,0.010302769902899486,0.5747663551401869,0.5552959501557633,0.559190031152648
complete,mean_gate,0.7171643396490675,0.30591430318921736,0.39017337927244033,0.9963803658511409,0.7649392738236213
complete,mean_expert_js_divergence,0.011008811364446085,0.00102742294775867,0.01194442528467403,0.00990928622524599,0.011172722583418235
